word,stemed
दाढीमिशा,दाढीमिशी
दाढीसारखे,दाढी
दाखल्,दाखल
दाखलेसुद्धा,दाखला
दाखव्,दाखवणे
दाखवा,दाखवणे
दाखवावी,दाखवणे
दाखवावं,दाखवणे
दाखवाव्या,दाखवणे
दाखवायचा,दाखवणे
दाखवायची,दाखवणे
दाखवायच्ं,दाखवणे
दाखवायचे,दाखवणे
दाखवायला,दाखवणे
दाखवी,दाखवणे
दाखवील,दाखवणे
दाखवीन,दाखवणे
दाखवीत,दाखवणे
दाखव्णारा,दाखवणे
दाखव्णार,दाखवणे
दाखव्णारे,दाखवणे
दाखव्णे,दाखवणे
दाखव्ण्याऐवजी,दाखवणे
दाखव्ण्यासाठी,दाखवणे
दाखवू,दाखवणे
दाखवून,दाखवणे
दाखविणे,दाखवणे
दाखविण्यासाठी,दाखवणे
दाखविण्यात,दाखवणे
दाखविला,दाखवणे
दाखविली,दाखवणे
दाखविले,दाखवणे
दाखविलेली,दाखवणे
दाखविलेले,दाखवणे
दाखविल्या,दाखवणे
दाखविल्याशिवाय,दाखवणे
दाखविता,दाखवणे
दाखवितात,दाखवणे
दाखवित,दाखवणे
दाखविते,दाखवणे
दाखवितो,दाखवणे
दाखव्ला,दाखवणे
दाखव्ली,दाखवणे
दाखव्लीच,दाखवणे
दाखव्ले,दाखवणे
दाखव्लेला,दाखवणे
दाखव्लेली,दाखवणे
दाखव्लो,दाखवणे
दाखव्ता,दाखवणे
दाखव्तात,दाखवणे
दाखव्तील,दाखवणे
दाखव्त,दाखवणे
दाखव्ते,दाखवणे
दाखव्तो,दाखवणे
दांडगी,दांडगा
दांडया,दांडी
दांडयाची,दांडा
दांडेकर्,दांडेकर
दांडेकर्लिखित,दांडेकरलिखित
दांड्यावर्,दांडा
दाणक्न,दाणकन
दाबून,दाबणे
दाब,दाबणे
दाबण्याची,दाबणे
दाबला,दाबणे
दाबली,दाबणे
दाबल्यानंतर्,दाबणे
दाबत्,दाबणे
दालने,दालन
दाम,दाम
दामले,दामले
दामदुप्पट्,दामदुप्पट
दाना,दान
दानं,दान
दानध्र्म,दानधर्म
दापोली,दापोली
दाराआड,दार
दाराशीच,दार
दारासमोरट्,दार
दारावर्,दार
दारातूनच्,दार
दारातच्,दार
दारातल्या,दार
दारादारातून,दार
दारी,दार
दारीचे,दार
दारूबंदी,दारूबंदी
दारूडया,दारुडा
दारूडे,दारुडा
दार,दार
दारे,दार
दारेखिडक्यांच्या,दार
दारिद्रय्,दारिद्र्य
दारिद्रयाशी,दारिद्र्य
दारिद्रयाच्या,दारिद्र्य
दारिद्रयामुळे,दारिद्र्य
दारिद्याची,दारिद्र्य
दारिद्याच्या,दारिद्र्य
दारिद्य,दारिद्र्य
दासांच्या,दास
दासांना,दास
दास,दास
दासबोधा,दासबोध
दासबोधाचा,दासबोध
दासबोधाला,दासबोध
दासबोधासारखा,दासबोध
दासबोधातील,दासबोध
दासप्पा,दासप्पा
दासोपंताच्या,दासोपंत
दास्यत्वातून,दास्यत्व
दाटीवाटी,दाटीवाटी
दाटीवाटीने,दाटीवाटी
दाटून,दाटणे
दाट,दाटणे
दाटलेले,दाटणे
दावणीला,दावण
दावे,दावे
दाताचं,दात
दातार,दातार
दातृत्व,दातृत्व
दातखिळ्या,दातखिळी
दातओठ,दातओठ
दादांबरोबर्,दादा
दादानं,दादा
दादी,दादी
दादीला,दाद
दादर्च्या,दादर
दादसुध्दा,दाद
दीडशे,दीडशे
दीडवाटी,दीड
दीडव्र्षांनंतर्,दीड
दीडदोन,दीडदोन
दीनानाथ,दीनानाथ
दीनवाणी,दीन
दीनद्याल,दीनदयाल
दीपल्क्ष्मी,दीपलक्ष्मी
दीप्तिमान,दीप्तिमान
दीर्घायु,दीर्घायू
दीर्घायुं,दीर्घायू
दीर्घायुषी,दीर्घायुषी
दीर्घायुष्य,दीर्घायुष्य
दीर्घ,दीर्घ
दीर्घही,दीर्घ
दीर्घकाळ,दीर्घ
दीर्घकाल,दीर्घ
दीर्घकालच्या,दीर्घकाल
दीर्घोच्छवास्,दीर्घोच्छवास
दौंड,दौंड
दौलत्,दौलत
दौलताबाद,दौलताबाद
दौलताबादजातीमध्ये,दौलताबाद
दौरा,दौरा
दौऱ्याची,दौरा
दौऱ्याच्या,दौरा
