word,stemed
ऐ,ऐ
ऐंशी,ऐंशी
ऐंशीच्या,ऐंशी
ऐंशिव्या,ऐंशीवा
ऐशींचे,ऐंशी
ऐशिंव्या,ऐंशीवा
ऐश्वर्य,ऐश्वर्य
ऐका,ऐकणे
ऐकावे,ऐकणे
ऐकाव्या,ऐकणे
ऐकायची,ऐकणे
ऐकायच्ं,ऐकणे
ऐकायचे,ऐकणे
ऐकायला,ऐकणे
ऐकायलादेखील,ऐकणे
ऐकीव,ऐकीव
ऐकू,ऐकणे
ऐकून,ऐकणे
ऐकूनच्,ऐकणे
ऐक,ऐकणे
ऐकणाराला,ऐकणे
ऐकणारी,ऐकणे
ऐकणाऱ्यालाही,ऐकणे
ऐकणार,ऐकणे
ऐकणारे,ऐकणे
ऐकण्याऐवजी,ऐकणे
ऐकण्याचा,ऐकणे
ऐकण्याची,ऐकणे
ऐकण्याचे,ऐकणे
ऐकण्याच्या,ऐकणे
ऐकण्यासही,ऐकणे
ऐकण्यावर्,ऐकणे
ऐकण्यात,ऐकणे
ऐकला,ऐकणे
ऐकली,ऐकणे
ऐकल्ं,ऐकणे
ऐकल्ंच,ऐकणे
ऐकल्ंस,ऐकणे
ऐकल्ंत,ऐकणे
ऐकले,ऐकणे
ऐकलेली,ऐकणे
ऐकलेलं,ऐकणे
ऐकलेले,ऐकणे
ऐकलेल्या,ऐकणे
ऐकलेत,ऐकणे
ऐकल्याबरोबर्,ऐकणे
ऐकल्यामुळे,ऐकणे
ऐकल्याने,ऐकणे
ऐकल्यासारखी,ऐकणे
ऐकल्यासारखे,ऐकणे
ऐकल्यावर्,ऐकणे
ऐकमेव,एकमेव
ऐकवायची,ऐकवणे
ऐकवीन,ऐकवणे
ऐकवेना,ऐकवणे
ऐकविले,ऐकवणे
ऐकव्ली,ऐकवणे
ऐकव्ले,ऐकवणे
ऐकव्ल्या,ऐकवणे
ऐकव्तो,ऐकवणे
ऐकत्,ऐकणे
ऐकता,ऐकणे
ऐकताच,ऐकणे
ऐकताना,ऐकणे
ऐकतात,ऐकणे
ऐकतो,ऐकणे
ऐके,ऐकणे
ऐकेना,ऐकणे
ऐना,ऐना
ऐन,ऐन
ऐनवेळी,ऐन
ऐपत्,ऐपत
ऐरावत्,ऐरावत
ऐसपेस,ऐसपैस
ऐसपेसप्णे,ऐसपैसपणे
ऐटीत,ऐट
ऐटबाज,ऐट
ऐवजी,ऐवजी
ऐतिहासिक,ऐतिहासिक
ऐतिहासिकदृष्टया,ऐतिहासिकदृष्ट्या
एखाद,एखाद
एखादं,एखादी
एखादेच,एखादा
एखाद्याची,एखादा
एखाद्याच,एखादा
एखाद्याचं,एखादा
एखाद्याचे,एखादा
एखाद्याच्या,एखादा
एखाद्याला,एखादा
एखाद्याने,एखादा
एखाद्यास,एखादा
एखाद्यावेळी,एखादा
एंगेजमेंट,एंगेजमेंट
एफ्लिन्स्टन्,एफ्लिन्स्टन
एथिक्स,एथिक्स
एअर,एअर
एजन्सी,एजन्सी
एका,एक
एकांगी,एकांगी
एकांकिका,एकांकिका
एकांतवासाची,एकांतवास
एकाची,एक
एकाच,एक
एकाचे,एक
एकाच्या,एक
एकाएकी,एकाएकी
एकाग्र,एकाग्र
एकाग्रता,एकाग्रता
एकाग्रतेने,एकाग्रता
एकाही,एक
एकाकी,एकाकी
एकाला,एक
एकालाही,एक
एकामागून,एक
एकाने,एक
एकान्त,एकान्त
एकापाठोपाठ,एकापाठोपाठ
एकापेक्षा,एक
एकापुढे,एक
एकापुरतीच,एक
एकावर्,एक
एकावेळी,एक
एकात्मतेने,एकात्मता
एकात्मिक,एकात्मता
एकादा,एखादा
एकाद,एखादा
एकादश्,एकादश
एकादशात,एकादश
एकादशी,एकादशी
एकाददोन,एखादा
एकादे,एखादा
एकीबरोबर्,एकी
एकीकडून,एक
एकीकडे,एक
एकीकर्ण,एकीकरण
एकीतून,एक
एक्झिट,एक्झिट
एकूण,एकूण
एकूणच्,एकूण
एकूणप्न्नास,एकूणपन्नास
एकछ्त्री,एकछ्त्री
एकंदर्,एकंदर
एकंदरीने,एकंदर
एकंदरीतच्,एकंदर
एकशे,एकशे
एकशेतीन,एकशेतीन
एकच्,एक
एकचा,एक
एकचिमुकली,एक
एकग्ठ्ठा,एक
एकहीजण्,एक
एकजात,एक
एकजीव,एकजीव
एकज्ण,एकजण
एकजिनसी,जिन्नस
एकजुटीचे,एकजुट
एकल्,एकल
एकल्कोंडे,एकलकोंडा
एकल्कोंडेपणा,एकलकोंडेपणा
एकमात्र,एकमात्र
एकमेका,एकमेक
एकमेकांशी,एकमेक
एकमेकांशई,एकमेक
एकमेकांचा,एकमेक
एकमेकांची,एकमेक
एकमेकांचे,एकमेक
एकमेकांच्या,एकमेक
एकमेकांकडे,एकमेक
एकमेकांना,एकमेक
एकमेकांपासून,एकमेक
एकमेकांवर्,एकमेक
एकमेकांविषयीची,एकमेक
एकमेकांत,एकमेक
एकमेकासाठी,एकमेक
एकमेकींच्या,एकमेक
एकमेकींना,एकमेक
एकमेकींवर्,एकमेक
एकमेकीपासून,एकमेक
एकमेकीविषयी,एकमेक
एकमेकीत,एकमेक
एकमेक,एकमेक
एकमेव,एकमेव
एकमुखाने,एकमुख
एकम्त,एकमत
एकम्द,मत
एकनाथांची,एकनाथ
एकनाथ,एकनाथ
एकनाड,एकनाड
एकनिष्ठता,एकनिष्ठता
एकप्त्नीव्रत्,एकपत्नीव्रत
एकप्त्निव्रत्,एकपतिव्रत
एकर्,एकर
एकरा,एकर
एकरांवर्,एकर
एकरी,एकर
एकरूप,एकरूप
एकरूपता,एकरूपता
एकरूपतेचे,एकरूपता
एकर्कमी,एकरक्कम
एकसारखा,एकसारखा
एकसारखे,एकसारखा
एकसारखेच,एकसारखा
एकसारख्या,एकसारखा
एकस्ंघ,एकसंघ
एकस्ंध,एकसंध
एकस्ंधप्णा,एकसंधपणा
एकस्ंधप्णाशिवाय,एकसंधपणा
एकस्ंधता,एकसंधता
एकस्ष्टी,एकसष्ठी
एकस्मान,एकसमान
