word,stemed
जा,जाणे
जाई,जाणे
जाईल,जाणे
जाईलच्,जाणे
जाईन,जाणे
जाईपर्यंत,जाणे
जाईपर्यत्,जाणे
जाखाई,जाखाई
जाळायला,जाळणे
जाळून,जाळणे
जाळूनच्,जाळणे
जाळली,जाळणे
जाळता,जाळणे
जाळे,जाळणे
जांभया,जांभई
जांभेकर्,जांभेकर
जांभेकरांचा,जांभेकर
जांभेकरांना,जांभेकर
जांभेकर्चा,जांभेकर
जांभेकर्ने,जांभेकर
जाणारा,जाणे
जाणारी,जाणे
जाणाऱ्या,जाणे
जाणाऱ्यांनी,जाणे
जाणाऱ्याची,जाणे
जाणार,जाणे
जाणारे,जाणे
जाणावा,जाणणे
जाणावायच्ं,जाणवणे
जाणावे,जाणणे
जाणीवा,जाणीव
जाणीवच्,जाणीव
जाणीवपूर्वक्,जाणीव
जाणू,जाणणे
जाणून,जाणणे
जाणूनबुजून,जाणूनबुजून
जाणं,जाणे
जाणंही,जाणे
जाणणारे,जाणणे
जाणणे,जाणणे
जाणकार,जाणकार
जाणवायची,जाणवणे
जाणवायला,जाणवणे
जाणव्णारा,जाणवणे
जाणव्णारी,जाणवणे
जाणव्णार,जाणवणे
जाणव्णारे,जाणवणे
जाणव्णे,जाणवणे
जाणव्ण्यासारखा,जाणवणे
जाणवू,जाणवणे
जाणवे,जाणवणे
जाणव्ला,जाणवणे
जाणव्ली,जाणवणे
जाणव्लं,जाणवणे
जाणव्ले,जाणवणे
जाणव्ल्याचे,जाणवणे
जाणव्तात,जाणवणे
जाणव्त,जाणवणे
जाणव्तं,जाणवणे
जाणव्ते,जाणवणे
जाणव्तो,जाणवणे
जाणत्या,जाणता
जाणयाची,जाणे
जाणेयेणे,जाणे
जाणिवा,जाणिव
जाणिवांची,जाणिव
जाणिवेचे,जाणिव
जाणिवेमुळे,जाणिव
जाणिवेने,जाणिव
जाणो,जाणणे
जाण्याऐवजी,जाणे
जाण्याचा,जाणे
जाण्याची,जाणे
जाण्याचीही,जाणे
जाण्याचं,जाणे
जाण्याचे,जाणे
जाण्याच्या,जाणे
जाण्याइतकी,जाणे
जाण्यामुळे,जाणे
जाण्यापासून,जाणे
जाण्यापूर्वी,जाणे
जाण्यासाठी,जाणे
जाण्यासारखी,जाणे
