word,stemed
पाआर्श्वभूमीचा,पार्श्वभूमी
पाईपांमधून,पाईप
पाईपाला,पाईप
पाईप,पाईप
पाईपला,पाईप
पाईपस्,पाईप
पाईपस्चे,पाईप
पाझर्,पाझर
पाखडायला,पाखडणे
पाखरांच्या,पाखर
पाखरांना,पाखर
पाखरांसारखी,पाखर
पाखर्ं,पाखर
पाखरे,पाखरू
पाळा,पाळ
पाळावा,पाळणे
पाळावी,पाळणे
पाळावयाच्या,पाळणे
पाळायचा,पाळीव
पाळायची,पाळीव
पाळायच्या,पाळीव
पाळून,पाळणे
पाळूनही,पाळणे
पाळणारी,पाळणे
पाळणाऱ्या,पाळणे
पाळणेच,पाळणे
पाळण्या,पाळणे
पाळला,पाळणे
पाळलाही,पाळणे
पाळली,पाळण
पाळले,पाळणे
पाळल्या,पाळणे
पाळल्यास,पाळणे
पाळत्,पाळत
पाळताना,पाळणे
पाळतात,पाळणे
पाळेमुळे,पाळेमुळे
पांढराशुभ्र,पांढरा
पांढरीशुभ्र,पांढरीशुभ्र
पांढऱ्या,पांढरा
पांढऱ्याशुभ्र,पांढऱ्याशुभ्र
पांढर्पेशा,पांढरपेशा
पांढर्पोशा,पांढरपेशा
पांढर्ट,पांढरा
पांघरूणे,पांघरूण
पांघरून,पांघरणे
पांच,पाच
पांचट्,पांचट
पांडवांचा,पांडव
पांडवांची,पांडव
पांडवांच्या,पांडव
पांडवांमध्ये,पांडव
पांडवांवरून,पांडव
पांडवांविरूद्ध,पांडव
पांडवाचे,पांडव
पांडव्सेना,पांडवसेना
पांडे,पांडे
पांडुरंग,पांडुरंग
पांगापांग,पांगापांग
पांगळ्या,पांगळा
पांगली,पांगणे
पांगले,पांगणे
पांगत्,पंगत
पाणावले,पाणावणे
पाणी,पाणी
पाणीही,पाणी
पाणीपुरव्ठा,पाणीपुरवठा
पाणीपुरव्ठयांच्या,पाणीपुरवठा
पाणउतार,पाणउतार
पाण्याबरोबर्,पाणी
पाण्याचा,ण
पाण्याची,पाणी
पाण्याचीच,पाणी
पाण्याचे,पाणी
पाण्याच्या,पाणी
पाण्यानं,पाणी
पाण्याने,पाणी
पाण्यापासून,पाणी
पाण्यासाठी,पाणी
पाण्यासारखा,पाणी
पाण्याविषयी,पाणी
पाण्यात,पाणी
पाण्यातच्,पाणी
पाशात,पाश
पाश,पाश
पाश्चात्त्याच्या,पाश्चात्त्य
पाश्चिमात्य,पाश्चिमात्य
पाठांतर्,पाठांतर
पाठीशी,पाठ
पाठीमागे,पाठ
पाठीवर्,पाठ
पाठीवरून,पाठ
पाठीवर्ल्या,पाठ
पाठईमागे,पाठ
पाठची,पाठ
पाठक्शास्त्री,पाठकशास्त्री
पाठलागचे,पाठलाग
पाठलागम्ध्येही,पाठलाग
पाठपुरावात्मक्,पाठपुरावा
पाठव्,पाठवणे
पाठवा,पाठवणे
पाठवावा,पाठवणे
पाठवावी,पाठवणे
पाठवावयाची,पाठवणे
पाठवावे,पाठवणे
पाठवावेत,पाठवणे
पाठवायची,पाठवणे
पाठवायचे,पाठवणे
पाठवायच्या,पाठवणे
पाठवायला,पाठवणे
पाठवी,पाठवणे
पाठवीन,पाठवणे
पाठवीत,पाठवणे
पाठव्णार,पाठवणे
पाठव्ण्याचा,पाठवणे
पाठव्ण्यासाठी,पाठवणे
पाठव्ण्यात,पाठवणे
पाठवून,पाठवणे
पाठविणाऱ्येचे,पाठवणे
पाठविणे,पाठवणे
पाठविण्याची,पाठवणे
पाठविण्याचे,पाठवणे
पाठविला,पाठवणे
पाठविली,पाठवणे
पाठविले,पाठवणे
पाठविलेले,पाठवणे
पाठविल्यानंतर्,पाठवणे
पाठविता,पाठवणे
पाठवितात,पाठवणे
पाठविते,पाठवणे
पाठव्ला,पाठवणे
पाठव्ली,पाठवणे
पाठव्लं,पाठवणे
पाठव्ले,पाठवणे
पाठव्लेले,पाठवणे
पाठव्लेल्या,पाठवणे
पाठव्ता,पाठवणे
पाठव्ताना,पाठवणे
पाठव्त,पाठवणे
पाठिंबा,पाठिंबा
पाठोपाठ,पाठोपाठ
पाठोपाठच्या,पाठोपाठ
पाऊलसुध्दा,पाऊल
पाऊसच्,पाऊस
पाचा,पाचा
पाचूचा,पाचू
पाचूचे,पाचू
पाचूच्या,पाचू
पाचशे,पाचशे
पाचशेव्या,पाचशे
पाचच्,पाच
पाचक्ळ,पाचकळ
पाचप्ंचवीस,पाचपंचवीस
पाचप्ंचवीसज्ण,पाचपंचवीसजण
पाचप्न्नास,पाच
पाचप्ट,पाचपट
पाचसात,पाच
पाचस्हा,पाच
पाचवा,पाचवा
पाचवी,पाचवी
पाचवे,पाचवा
पाचद्हा,पाच
पाचद्हा,पाच
पाचद्हा,पाच
पाचद्हा,पाच
पाडावी,पाडणे
पाडावी,पाडणे
पाडाव्या,पाडणे
पाडायला,पाडणे
पाडू,पाडणे
पाडून,पाडणे
पाडणारा,पाडणे
पाडणारे,पाडणे
पाडणारे,पाडणे
पाडणे,पाडणे
पाडण्याची,पाडणे
पाडण्यासाठी,पाडणे
पाडण्यात,पाडणे
पाडगावक्रांच्या,पाडगावकर
