word,stemed
ऊ,ऊ
ऊठ,ऊठणे
ऊठसूट,ऊठसूट
ऊबदार,ऊबदार
ऊहापोह,ऊहापोह
ऊन,ऊन
ऊनपाऊस,ऊनपाऊस
ऊनसावल्यात,ऊनसावली
ऊर्फ,ऊर्फ
ऊसाचा,ऊस
उभारावयाच्या,उभारणे
उभारी,उभारी
उभारीत,उभारी
उभारणी,उभारणी
उभारणे,उभारणे
उभारण्याच्या,उभारणे
उभारण्यचा,उभारणे
उभारला,उभारणे
उभारली,उभारणे
उभारल्ं,उभारणे
उभारले,उभारणे
उभारलेला,उभारणे
उभारलेले,उभारणे
उभारता,उभारणे
उभारताना,उभारणे
उभं,उभा
उभ्याही,उभा
उभ्याने,उभा
उघड्,उघड
उघडावयास,उघडणे
उघडावे,उघडणे
उघडायचे,उघडणे
उघडायला,उघडणे
उघड्णार,उघडणे
उघड्णारे,उघडणे
उघड्णे,उघडणे
उघड्ण्याचा,उघडणे
उघड्ण्याची,उघडणे
उघड्ण्यासाठी,उघडणे
उघड्ण्यास,उघडणे
उघडू,उघडणे
उघडून,उघडणे
उघड्च,उघडणे
उघडेच,उघडा
उघड्ला,उघडणे
उघड्ली,उघडणे
उघड्लं,उघडणे
उघड्ले,उघडणे
उघड्ल्या,उघडणे
उघड्ल्यामुळे,उघडणे
उघड्ल्याप्रमाणे,उघडणे
उघड्ल्यास,उघडणे
उघड्पणाने,उघडपणा
उघड्पणे,उघडपणे
उघड्ता,उघडणे
उघड्तांना,उघडणे
उघड्ताना,उघडणे
उघड्ताता,उघडणे
उघड्ते,उघडणे
उघड्यावर्,उघडा
उखाळ्यापाखाळ्याशिवाय,उखाळीपाखाळी
उखडून,उखडणे
उखड्ले,उखडणे
उखड्त,उखडणे
उंघडे,उघडा
उंबर्,उंबर
उंबर्ठ्याला,उंबरठा
उंबऱ्याबाहेर,उंबरा
उंबऱ्यापर्यंत,उंबरा
उंचावणे,उंचावणे
उंचावण्यासाठी,उंचावणे
उंचावण्यास,उंचावणे
उंचावली,उंचावणे
उंचावले,उंचावणे
उंचावलेला,उंचावणे
उंचावलेले,उंचावणे
उंचावलेल्या,उंचावणे
उंचावरून,उंचावणे
उंचावते,उंचावणे
उंचीवर्,उंची
उंचव्टा,उंचवटा
उंचव्टया,उंचवटा
उंचव्टयांच्या,उंचवटा
उंचव्टयाचा,उंचवटा
उंचव्टयाची,उंचवटा
उंचव्टयाचे,उंचवटा
उंचव्टयाच्या,उंचवटा
उंचव्टयाकडे,उंचवटा
उंचव्टयाला,उंचवटा
उंचव्टयावरील,उंचवटा
उंचव्टयात,उंचवटा
उंचव्टे,उंचवटा
उंचव्ट्याचा,उंचवटा
उंचव्ट्याच्या,उंचवटा
उंचव्ट्याकडे,उंचवटा
उंचव्ट्यासाठी,उंचवटा
उंचव्ट्यावरील,उंचवटा
उंचेपुरे,उंचापुरा
उंदरांची,उंदीर
उंदराची,उंदीर
उंदराचे,उंदीर
उंदराना,उंदीर
उंदरानं,उंदीर
उंदर्ं,उंदीर
उणी,उणा
उणेपणा,उणेपणा
उणिवा,उणीव
उणिवांवर्,उणीव
उफाळून,उफाळणे
उफाळलेला,उफाळणे
उषा,उषा
उशाशी,उशी
उशीरा,उशिरा
उशीराच,उशिरा
उशीरापर्यंत,उशीर
उशिरा,उशिरा
उठा,उठणे
उठावशीर,उठावशीर
उठावदार,उठाव
उठावदारप्ण,उठावदारपण
उठायचा,उठणे
उठायची,उठणे
उठायच्ं,उठणे
उठायला,उठणे
उठू,उठणे
उठून,उठणे
उठणाऱ्या,उठणे
उठणार,उठणे
उठणे,उठणे
उठण्याची,उठणे
उठब्सही,उठबस
उठला,उठणे
उठली,उठणे
उठल्ं,उठणे
उठले,उठणे
उठलेच,उठणे
उठलो,उठणे
उठल्याच,उठणे
उठल्याप्रमाणे,उठणे
उठल्यावर्,उठणे
उठवावे,उठवणे
उठवायचो,उठवणे
उठव्ण्याचा,उठवणे
उठवू,उठवणे
उठवून,उठवणे
उठवेल,उठवणे
उठविण्याची,उठवणे
उठविले,उठवणे
उठविते,उठवणे
उठव्लं,उठवणे
उठव्तात,उठवणे
उठव्त,उठवणे
उठत्,उठवणे
उठतात,उठवणे
उठतो,उठणे
उठतोस,उठणे
उथळ्,उथळ
उधाण,उधाण
उधारी,उधारी
उधळायचे,उधळणे
उधळायला,उधळणे
उधळ्णारा,उधळणे
उधळ्णच्,उधळण
उधळून,उधळणे
उधळेपणा,उधळेपणा
उधळ्ला,उधळणे
उधळ्माधळ्,उधळमाधळ
उधळ्पट्टी,उधळपट्टी
उध्दट्,उद्धट
उबळ्,उबळ
उबळीनं,उबळ
उबव्ली,उबवणे
उबदार,ऊब
उबे,ऊब
उचांवण्यासाठी,उंचावणे
उचापत्खोर,उचापतखोर
उचंबळून,उचंबळणे
उचंवटा,उंचवटा
उचक्टत्,उचकटणे
उचक्या,उचकी
उचल्,उचल
उचला,उचलणे
उचलावी,उचलणे
उचलावे,उचलणे
उचलायची,उचलणे
उचलायचीही,उचलणे
उचलायचे,उचलणे
उचल्णे,उचलणे
उचलू,उचलणे
उचलून,उचलणे
उचल्बांगडी,उचलबांगडी
उचलेना,उचलणे
उचल्ला,उचलणे
उचल्ली,उचलणे
उचल्लं,उचलणे
उचल्ले,उचलणे
उचल्लेच,उचलणे
उचल्लेली,उचलणे
उचल्ता,उचलणे
उचल्त,उचलणे
उचल्ते,उचलणे
उचल्तो,उचलणे
उचव्टा,उंचवटा
उच्चांक,उच्चांक
उच्चाराने,उच्चार
उच्चारायचा,उच्चारणे
उच्चारण्याचे,उच्चारणे
उच्चारले,उच्चारणे
उच्चारता,उच्चारणे
उच्चारित,उच्चारित
उच्च,उच्च
उच्चभ्रूपण्,उच्चभ्रूपण
उच्चनीचतेच्या,उच्चनीचता
उच्चप्णाच्या,उच्चपणा
उच्चप्दास,उच्चपद
उच्चर्वाने,उच्चरव
उच्चस्थानीय,उच्चस्थानीय
उडाणट्प्पू,उडाणटप्पू
उडाणट्प्पूपणा,उडाणटप्पूपणा
उडाला,उडणे
उडाली,उडणे
उडालेला,उडणे
उडालो,उडणे
उडाल्या,उडणे
उडायचा,उडणे
उडायची,उडणे
उडायच्या,उडणे
उडू,उडणे
उडून,उडणे
उडणाऱ्या,उडणे
उडले,उडणे
उडवायचे,उडणे
उडवायला,उडणे
उडवीत,उडणे
उडवून,उडणे
उडविल्याबद्दल्,उडणे
उडविति,उडणे
उडव्ला,उडणे
उडव्ली,उडणे
उडव्लेली,उडणे
उडव्त,उडणे
उडव्ते,उडणे
उडव्तोय,उडणे
उडत्,उडणे
उडते,उडणे
उडया,उडी
उडेल,उडणे
उड्या,उडी
उगाळीत,उगाळणे
उगाच,उगा
उगाचच्,उगा
उगारत्,उगारणे
उगी,उगा
उगीच,उगा
उगीचच्,उगा
उगम्,उगम
उगम्तीर्थाचा,उगमतीर्थ
उगव्णारा,उगवणे
उगव्णार,उगवणे
उगवेल,उगवणे
उगव्ला,उगवणे
उगव्ली,उगवणे
उगव्लेला,उगवणे
उगव्लेलं,उगवणे
उगव्लेल्या,उगवणे
उगव्त,उगवणे
उगव्ते,उगवणे
उहापोह,ऊहापोह
उजाडावं,उजाडणे
उजाडायच्या,उजाडणे
उजाडणारच्,उजाडणे
उजाडला,उजाडणे
उजाडली,उजाडणे
उजाडल्ंही,उजाडणे
उजाडत्,उजाडणे
उजळ्,उजळणे
उजळावेसे,उजळणे
उजळ्णी,उजळणी
उजळून,उजळणे
उजळ्ले,उजळणे
उजवीकडे,उजवा
उजेडाआड,उजेडाआड
उज्जव्ल,उज्ज्वल
उज्जयिनी,उज्जयिनी
उज्जयिनीहून,उज्जयिनी
उज्जयिनीला,उज्जयिनी
उज्जयिनिच्या,उज्जयिनी
उज्जयिनिला,उज्जयिनी
उज्जयिनित,उज्जयिनी
उज्जयिनितली,उज्जयिनी
उज्जियिनी,उज्जयिनी
उज्ज्वल्,उज्ज्वल
उकीरडा,उकिरडा
उकळ्णाऱ्या,उकळणे
उकळून,उकळणे
उकळ्ते,उकळणे
उकळ्त्या,उकळणे
उकळ्या,उकळी
उकल्,उकल
उकल्ण्यासाठी,उकलणे
