word,stemed
छंद,[]
छंदःशास्त्र,[]
छंदच,[]
छंदबदल,[]
छंदबद्ध,[]
छंदमुक्त,[]
छंदयुक्त,[]
छंदशास्त्राचं,"['छंदशास्त्रा', 'छंदशास्त्र']"
छंदही,[]
छंदांकडे,[]
छंदांचा,['छंद']
छंदांत,[]
छंदांना,[]
छंदांपैकी,[]
छंदांसाठी,['छंद']
छंदाकडे,['छंद']
छंदाचं,"['छंदा', 'छंद']"
छंदाचा,"['छंदा', 'छंद']"
छंदाची,"['छंदा', 'छंद']"
छंदाचे,"['छंदा', 'छंद']"
छंदाच्या,"['छंदाच्', 'छंद', 'छंदाच']"
छंदात,[]
छंदातच,['छंद']
छंदातल्या,"['छंदातल', 'छंद']"
छंदातून,"['छंद', 'छंदात']"
छंदातूनच,"['छंदा', 'छंदातू']"
छंदानं,[]
छंदाना,[]
छंदापैकी,[]
छंदापोटी,[]
छंदाबद्दल,[]
छंदामुळे,['छंद']
छंदाला,['छंद']
छंदावर,['छंद']
छंदासाठी,['छंद']
छंदी,[]
छंदीफंदी,[]
छंदोबद्ध,[]
छंदोमय,[]
छंदोरचना,[]
छंदोरचनांपैकी,[]
छंदोरचनेत,['छंदोरचन']
छकडा,[]
छकडी,[]
छकुला,[]
छकुली,[]
छकुलीच्या,"['छकुलीच', 'छकुल']"
छकुलीने,[]
छकुलीला,['छकुल']
छकुलीवर,['छकुल']
छकुलीसाठी,['छकुल']
छकुल्या,['छकुल']
छकुल्यांचा,"['छकुल्य', 'छकुल्या']"
छक्का,[]
छक्की,[]
छक्के,[]
छक्क्या,['छक्क']
छचोर,[]
छचोरपणाला,['छचोरपण']
छटा,[]
छटांचा,['छट']
छटांची,['छट']
छटांतून,['छटांत']
छटांनी,['छट']
छटांमधलं,[]
छटाही,[]
छटेचा,[]
छटेची,[]
छटेत,['छट']
छडा,[]
छडी,[]
छडीऐवजी,[]
छडीदार,[]
छडीने,[]
छड्या,['छड']
छणछणाट,[]
छत,[]
छतदेखील,[]
छतांचे,['छत']
छतांच्या,"['छतांच', 'छत']"
छताकडे,['छत']
छताखाली,['छत']
छताचा,"['छता', 'छत']"
छताचे,"['छता', 'छत']"
छताच्या,"['छताच्', 'छत', 'छताच']"
छताजवळ,[]
छतापर्यंत,[]
छतापासून,"['छतापास', 'छत']"
छताला,['छत']
छतालाही,['छताल']
छतावर,['छत']
छतावरचा,['छताव']
छतावरची,['छताव']
छतावरती,['छताव']
छतावरील,['छताव']
छतावरून,"['छत', 'छतावर', 'छताव']"
छत्तिशी,[]
छत्तीस,[]
छत्तीसगड,[]
छत्तीसगडमधला,[]
छत्तीसगडमधल्या,['छत्तीसगडमधल']
छत्तीसगडमध्ये,[]
छत्त्तीस,[]
छत्र,[]
छत्रचामर,[]
छत्रछायेखाली,['छत्रछायेखा']
छत्रछायेखालीच,['छत्रछायेखाल']
छत्रपती,[]
छत्रपतींकडेच,['छत्रपती']
छत्रपतींचा,['छत्रपत']
छत्रपतींचे,['छत्रपत']
छत्रपतींच्या,"['छत्रपतींच', 'छत्रपत']"
छत्रपतींच्यानंतर,"['छत्रपतींच्यान', 'छत्रपतींच्य', 'छत्रपतींच्']"
छत्रपतींनंतर,[]
छत्रपतींना,['छत्रपत']
छत्रपतींनी,['छत्रपत']
छत्रपतींवर,['छत्रपत']
छत्रपतींसोबत,[]
छत्रपतीच्या,"['छत्रपतीच', 'छत्रपत']"
छत्रपतीला,"['छत्रपत', 'छत्रपत']"
छत्राखाली,['छत्र']
छत्री,[]
छत्रीकडे,[]
छत्रीखाली,[]
छत्रीचा,['छत्र']
छत्रीची,['छत्र']
छत्रीच्या,"['छत्रीच', 'छत्र']"
छत्रीत,['छत्र']
छत्रीतून,"['छत्रीत', 'छत्रीत', 'छत्र']"
छत्रीदार,[]
छत्रीपासून,['छत्रीपास']
छत्रीप्रमाणे,[]
छत्रीला,['छत्र']
छत्रीवर,['छत्र']
छत्रीवीण,[]
छत्रीसारख्या,['छत्रीसारख']
छत्र्या,['छत्र']
छत्र्यांचा,"['छत्र्य', 'छत्र्या']"
छत्र्यांची,"['छत्र्य', 'छत्र्या']"
छत्र्यांप्रमाणे,['छत्र्यांप्रम']
छत्र्यांविषयी,['छत्र्यांवि']
छदाम,[]
छदामही,[]
छद्मिपणाने,[]
छद्मी,[]
छद्मीपणा,[]
छद्मीपणे,[]
छपत,[]
छपरांचं,[]
छपरांवर,['छपर']
छपराइतकं,[]
छपराखाली,['छपर']
छपराचं,"['छपरा', 'छपर']"
छपराचा,"['छपरा', 'छपर']"
छपराची,"['छपरा', 'छपर']"
छपरातून,"['छपर', 'छपरात']"
छपराने,[]
छपरापाशी,['छपराप']
छपराला,['छपर']
छपरावर,['छपर']
छपरासकट,[]
छपरासाठी,['छपर']
छपरी,[]
छपरे,[]
छपाई,[]
छपाईकलेचा,[]
छपाईचा,[]
छपाईचे,[]
छपाईच्या,['छपाईच']
छपाईद्वारे,[]
छपाईमध्ये,[]
छपाईमाध्यमांची,['छपाईमाध्यम']
छपाईला,[]
छपाईवरून,['छपाईवर']
छपाईसाठी,[]
छपाईही,[]
छपून,['छप']
छप्पन,[]
छप्पर,[]
छप्परं,[]
छप्परच,[]
छप्पे,[]
छबकडी,[]
छबिना,[]
छबिलदास,[]
छबी,[]
छबीची,['छब']
छबीदार,[]
छबीदारापुढे,[]
छबीपेक्षा,[]
छमछम,[]
छळ,[]
छळकथा,[]
छळग्रस्त,[]
छळच,[]
छळछावणी,[]
छळछावणीच्या,"['छळछावणीच', 'छळछावण']"
छळछावणीत,['छळछावण']
छळछावणीतले,['छळछावणीत']
छळछावणीतल्या,"['छळछावणीतल्', 'छळछावणीतल']"
छळछावणीमध्ये,[]
छळछावण्या,['छळछावण']
छळछावण्यांमधून,"['छळछावण्यांमध', 'छळछावण्यांम']"
छळछावण्याच्या,"['छळछावण्याच्', 'छळछावण्य', 'छळछावण्याच']"
छळणं,[]
छळणार,[]
छळणारा,[]
छळणारी,[]
छळणारे,['छळ']
छळणे,[]
छळण्याचा,"['छळण्या', 'छळण्य', 'छळण्य']"
छळत,[]
छळतंय,[]
छळता,[]
छळताना,[]
छळताय,['छळत']
छळते,[]
छळतेय,[]
छळतो,[]
छळतोय,['छळ']
छळलं,[]
छळलंय,['छळ']
छळले,[]
छळल्या,['छळल']
छळल्याचं,"['छळल्या', 'छळल्य', 'छळल्य']"
छळवणुकीला,['छळवणुक']
छळवणूक,[]
छळवाद,[]
छळवादाने,[]
छळवादाला,['छळवाद']
छळवादी,[]
छळांच्या,"['छळांच', 'छळ']"
छळाचा,"['छळा', 'छळ']"
छळाची,"['छळा', 'छळ']"
छळाचे,"['छळा', 'छळ']"
छळाच्या,"['छळाच्', 'छळ', 'छळाच']"
छळात,[]
छळातून,"['छळ', 'छळात']"
छळादरम्यानदेखील,['छळादरम्यानदे']
छळाबाबतही,['छळाब']
छळायचं,['छळाय']
छळायची,['छळाय']
छळायचे,['छळाय']
छळायला,['छळाय']
छळाला,['छळ']
छळावी,[]
छळास,[]
छळू,[]
छळून,['छळ']
छाछूगिरी,[]
छाटणं,[]
छाटणी,[]
छाटणीचे,['छाटण']
छाटण्याचे,"['छाटण्या', 'छाटण', 'छाटण्य', 'छाटण्य']"
छाटतंय,[]
छाटता,[]
छाटताना,[]
छाटला,[]
छाटली,[]
छाटले,[]
छाटलेले,"['छाट', 'छाटल']"
छाटायचा,['छाटाय']
छाटायचे,['छाटाय']
छाटाव्या,['छाटाव']
छाटाव्यात,['छाटाव्']
छाटून,['छाट']
छाताडावर,['छाताड']
छाती,[]
छातीकडचे,[]
छातीकडे,[]
छातीच,[]
छातीचा,['छात']
छातीची,['छात']
छातीचे,['छात']
छातीच्या,"['छातीच', 'छात']"
छातीठोक,[]
छातीठोकपणे,[]
छातीत,['छात']
छातीतच,"['छाती', 'छात']"
छातीतली,['छातीत']
छातीतल्या,"['छातीतल्', 'छातीतल']"
छातीतील,"['छातीत', 'छाती']"
छातीतून,"['छातीत', 'छातीत', 'छात']"
छातीनं,[]
छातीने,[]
छातीपर्यंत,[]
छातीपर्यंतचा,[]
छातीपाशी,['छातीप']
छातीफोड,[]
छातीभर,[]
छातीभरून,['छातीभर']
छातीमध्ये,[]
छातीला,"['छात', 'छात', 'छा']"
छातीवर,['छात']
छातीवरचा,['छातीव']
छातीवरची,['छातीव']
छातीवरही,['छातीव']
छातीवरून,"['छातीव', 'छातीवर']"
छातीशी,[]
छातीसमोर,[]
छातीसाठी,['छात']
छात्र,[]
छात्रभारतीचे,['छात्रभारत']
छात्रभारतीने,[]
छात्रसेनाधिकारी,[]
छात्रसेनेकडे,[]
छात्रसेनेच्या,['छात्रसेनेच']
छात्रालयातल्या,"['छात्रालयातल', 'छात्रालय']"
छान,[]
छानच,[]
छानछान,[]
छानछोकी,[]
छानछोकीची,['छानछोक']
छानछोकीचे,['छानछोक']
छानछोकीला,['छानछोक']
छाननी,[]
छाननीअंती,[]
छाननीऐवजी,[]
छाननीत,['छानन']
छाननीपासून,['छाननीपास']
छानपणे,[]
छानपैकी,[]
छानशा,[]
छानशी,[]
छानसं,[]
छानसा,[]
छानसे,[]
छाप,[]
छापखाने,[]
छापखान्याचे,"['छापखान्या', 'छापखान', 'छापखान्य', 'छापखान्य']"
छापखान्यात,['छापखान्']
छापखान्यातून,"['छापखान्य', 'छापखान्यात', 'छापखान्या']"
छापच,[]
छापणार,[]
छापणारच,[]
छापणारा,[]
छापणारी,[]
छापणारे,['छाप']
छापणार्‍यांस,[]
छापणाऱ्या,"['छाप', 'छापणाऱ']"
छापणे,[]
छापण्याचा,"['छापण्या', 'छापण्य', 'छापण्य']"
छापण्याची,"['छापण्या', 'छापण्य', 'छापण्य', 'छापण']"
छापण्याचे,"['छापण्या', 'छापण', 'छापण्य', 'छापण्य']"
छापण्यात,['छापण्']
छापण्याला,"['छापण्य', 'छापण्य']"
छापण्यावरही,"['छापण्याव', 'छापण्य', 'छापण्याव']"
छापण्यासाठी,"['छापण्यास', 'छापण्य']"
छापत,[]
छापता,[]
छापतात,['छाप']
छापताना,[]
छापताहेत,['छापताह']
छापतील,['छाप']
छापते,[]
छापतो,[]
छापलं,[]
छापला,[]
छापलाय,['छापल']
छापली,[]
छापलीही,['छापल']
छापले,[]
छापलेलं,['छापल']
छापलेला,"['छाप', 'छापल']"
छापलेली,"['छापल', 'छाप']"
छापलेले,"['छाप', 'छापल']"
छापलेल्या,"['छापल', 'छापलेल', 'छाप']"
छापल्या,['छापल']
छापल्याबद्दल,['छापल्याबद']
छापल्यावर,"['छापल्य', 'छापल', 'छापल्य']"
छापल्यास,['छापल्']
छापल्यासारखं,"['छापल्यासा', 'छापल']"
छापवून,['छापव']
छापा,[]
छापांची,['छाप']
छापाचं,"['छापा', 'छाप']"
छापाचा,"['छापा', 'छाप']"
छापाची,"['छापा', 'छाप']"
छापाचे,"['छापा', 'छाप']"
छापाच्या,"['छापाच्', 'छाप', 'छापाच']"
छापातले,[]
छापातून,"['छाप', 'छापात']"
छापायचं,['छापाय']
छापायचा,['छापाय']
छापायची,['छापाय']
छापायचे,['छापाय']
छापायच्या,"['छापायच्', 'छापायच']"
छापायला,['छापाय']
छापाल,[]
छापावा,[]
छापावी,[]
छापावीत,['छापाव']
छापावे,[]
छापील,[]
छापू,[]
छापून,['छाप']
छापूनच,['छापू']
छापूनदेखील,['छापूनदेख']
छापूनही,['छापून']
छापे,[]
छापेल,[]
छाप्यात,['छाप्']
छाप्यातून,"['छाप्य', 'छाप्यात', 'छाप्या']"
छाप्यामध्ये,"['छाप्य', 'छाप्यामध']"
छायचित्रही,['छायचित्र']
छाया,['छा']
छायांकित,['छायांक']
छायांसारखी,['छायांसार']
छायागीत,"['छायाग', 'छायाग']"
छायागीताप्रमाणे,"['छायागीताप्रमा', 'छायागीताप्रमा']"
छायाचित्र,"['छायाचित', 'छायाचित']"
छायाचित्रं,"['छायाचित्', 'छायाचित्']"
छायाचित्रकला,"['छायाचित्रक', 'छायाचित्रक']"
छायाचित्रकार,"['छायाचित्रक', 'छायाचित्रक']"
छायाचित्रकारच,"['छायाचित्रका', 'छायाचित्रका']"
छायाचित्रकारही,"['छायाचित्रकार', 'छायाचित्रकार']"
छायाचित्रकारांची,"['छायाचित्रकारां', 'छायाचित्रकार', 'छायाचित्रकारां']"
छायाचित्रकारांना,"['छायाचित्रकारां', 'छायाचित्रकारां']"
छायाचित्रकारांनाही,"['छायाचित्रकारांना', 'छायाचित्रकारांना']"
छायाचित्रकारांनी,"['छायाचित्रकारां', 'छायाचित्रकारां', 'छायाचित्रकार']"
छायाचित्रकाराकडून,"['छायाचित्रकाराकड', 'छायाचित्रकाराकड', 'छायाचित्रकाराकड', 'छायाचित्रकार']"
छायाचित्रकाराचं,"['छायाचित्रकारा', 'छायाचित्रकारा', 'छायाचित्रकार']"
छायाचित्रकाराने,"['छायाचित्रकारा', 'छायाचित्रकारा']"
छायाचित्रकाराला,"['छायाचित्रकारा', 'छायाचित्रकारा', 'छायाचित्रकार']"
छायाचित्रकाराशी,"['छायाचित्रकार', 'छायाचित्रकारा', 'छायाचित्रकारा']"
छायाचित्रण,"['छायाचित्', 'छायाचित्']"
छायाचित्रणकलेचा,"['छायाचित्रणकले', 'छायाचित्रणकले']"
छायाचित्रणही,"['छायाचित्रण', 'छायाचित्रण']"
छायाचित्रणाकडे,"['छायाचित्रणाक', 'छायाचित्रण', 'छायाचित्रणाक']"
छायाचित्रणाचा,"['छायाचित्रणा', 'छायाचित्रण', 'छायाचित्रणा']"
छायाचित्रणाची,"['छायाचित्रणा', 'छायाचित्रणा', 'छायाचित्रण']"
छायाचित्रणाचीही,"['छायाचित्रणाची', 'छायाचित्रणाची', 'छायाचित्रणाच', 'छायाचित्रणाच']"
छायाचित्रणाच्या,"['छायाचित्रणाच्', 'छायाचित्रणाच्', 'छायाचित्रण', 'छायाचित्रणाच']"
छायाचित्रणात,"['छायाचित्रण', 'छायाचित्रण']"
छायाचित्रणातही,"['छायाचित्रणात', 'छायाचित्रणात', 'छायाचित्रण']"
छायाचित्रणापासून,"['छायाचित्रणापास', 'छायाचित्रणापास', 'छायाचित्रणापास', 'छायाचित्रण']"
छायाचित्रणाबद्दल,"['छायाचित्रणाबद्', 'छायाचित्रणाबद्']"
छायाचित्रणाला,"['छायाचित्रणा', 'छायाचित्रणा', 'छायाचित्रण']"
छायाचित्रणास,"['छायाचित्रण', 'छायाचित्रण']"
छायाचित्रणासाठी,"['छायाचित्रणासा', 'छायाचित्रणासा', 'छायाचित्रण']"
छायाचित्रही,"['छायाचित्र', 'छायाचित्र']"
छायाचित्रांचं,"['छायाचित्रां', 'छायाचित्रां']"
छायाचित्रांचा,"['छायाचित्रां', 'छायाचित्रां', 'छायाचित्र']"
छायाचित्रांची,"['छायाचित्रां', 'छायाचित्र', 'छायाचित्रां']"
छायाचित्रांचे,"['छायाचित्रां', 'छायाचित्रां', 'छायाचित्र']"
छायाचित्रांचेही,"['छायाचित्रांचे', 'छायाचित्रांचे', 'छायाचित्रां']"
छायाचित्रांच्या,"['छायाचित्रांच्', 'छायाचित्रांच्', 'छायाचित्रांच', 'छायाचित्र']"
छायाचित्रांनाच,"['छायाचित्रांन', 'छायाचित्रांन']"
छायाचित्रांनी,"['छायाचित्रां', 'छायाचित्रां', 'छायाचित्र']"
छायाचित्रांमध्ये,"['छायाचित्रांमध्', 'छायाचित्रांमध्', 'छायाचित्र']"
छायाचित्रांवरून,"['छायाचित्रांवर', 'छायाचित्रांवर', 'छायाचित्रांवर', 'छायाचित्र', 'छायाचित्रां']"
छायाचित्रांसह,"['छायाचित्रां', 'छायाचित्रां']"
छायाचित्रांसाठीचा,"['छायाचित्रांसाठी', 'छायाचित्रां', 'छायाचित्रांसाठी', 'छायाचित्रांसाठ']"
छायाचित्रांसाठीचे,"['छायाचित्रांसाठी', 'छायाचित्रां', 'छायाचित्रांसाठी', 'छायाचित्रांसाठ']"
छायाचित्राचा,"['छायाचित्रा', 'छायाचित्र', 'छायाचित्रा']"
छायाचित्रात,"['छायाचित्र', 'छायाचित्र']"
छायाचित्रातील,"['छायाचित्रात', 'छायाचित्रात', 'छायाचित्रा', 'छायाचित्र']"
छायाचित्रातून,"['छायाचित्रात', 'छायाचित्र', 'छायाचित्रात', 'छायाचित्रात']"
छायाचित्राबाबत,"['छायाचित्राबा', 'छायाचित्राबा', 'छायाचित्र']"
छायाचित्राबाबतची,"['छायाचित्राबाबत', 'छायाचित्राबाबत', 'छायाचित्राब']"
छायाचित्राला,"['छायाचित्रा', 'छायाचित्रा', 'छायाचित्र']"
छायाचित्रावरून,"['छायाचित्रावर', 'छायाचित्रावर', 'छायाचित्र', 'छायाचित्रावर', 'छायाचित्राव']"
छायाचित्रासमोर,"['छायाचित्रासम', 'छायाचित्रासम']"
छायाचित्रासाठी,"['छायाचित्रासा', 'छायाचित्रासा', 'छायाचित्र']"
छायाचित्रीकरण,"['छायाचित्रीक', 'छायाचित्रीक']"
छायाचित्रे,"['छायाचित्', 'छायाचित्']"
छायाचित्रेच,"['छायाचित्र', 'छायाचित्र']"
छायाचित्रेही,"['छायाचित्रे', 'छायाचित्रे']"
छायाप्रकाश,['छायाप्रक']
छायाप्रकाशाचा,"['छायाप्रकाशा', 'छायाप्रकाश', 'छायाप्रकाशा']"
छायाप्रकाशामुळे,"['छायाप्रकाशामु', 'छायाप्रकाश']"
छायाप्रत,['छायाप्']
छायायंत्र,['छायायंत']
छायायंत्रच,['छायायंत्']
छायालेखक,['छायाले']
छायाही,['छाया']
छायिचित्रावर,"['छायिचित्रा', 'छायिचित्र']"
छायेखाली,['छायेखा']
छायेचा,['छाये']
छायेत,"['छाय', 'छाय']"
छायेतच,"['छाये', 'छाये']"
छायेतलं,"['छायेत', 'छायेत']"
छायेतला,"['छायेत', 'छायेत']"
छायेतही,"['छायेत', 'छायेत']"
छायेतून,"['छायेत', 'छायेत', 'छायेत']"
छायेने,['छाये']
छायेमधून,"['छायेमध', 'छायेमध']"
छायेसाठी,['छायेसा']
