word,stemed
डँबीस,[]
डंकन,[]
डंका,[]
डंख,[]
डंखीण,[]
डंपर,[]
डंपिंग,[]
डकवणे,[]
डकवता,[]
डकवते,[]
डकवतो,[]
डकवतोय,['डकव']
डकवला,[]
डकवलेला,"['डकव', 'डकवल']"
डकवलेले,"['डकव', 'डकवल']"
डकवलेल्या,"['डकवल', 'डकवलेल', 'डकव']"
डकवल्यावर,"['डकवल्य', 'डकवल', 'डकवल्य']"
डकवायची,['डकवाय']
डकवायचे,['डकवाय']
डकवायला,['डकवाय']
डगडगलं,[]
डगमगणार,[]
डगमगत,[]
डगमगता,[]
डगमगलं,[]
डगमगला,[]
डगमगली,[]
डगमगले,[]
डगमगलो,[]
डगमगल्या,['डगमगल']
डगमगायचो,['डगमगाय']
डगमगीत,['डगमग']
डगमगून,['डगमग']
डगरींवर,['डगर']
डगरीवर,['डगर']
डगला,[]
डचमळले,[]
डचांची,['डच']
डचांनी,['डच']
डच्चू,[]
डच्चूही,[]
डझन,[]
डझनचा,[]
डझनची,[]
डझनच्या,['डझनच']
डझनने,[]
डझनपेक्षा,[]
डझनभर,[]
डझनाच्यावर,"['डझनाच्या', 'डझनाच', 'डझनाच्य', 'डझनाच', 'डझनाच्य']"
डझनामागे,[]
डझनावर,['डझन']
डझनावरी,['डझना']
डझनावारी,[]
डझनाहून,['डझनाह']
डफडं,[]
डफाची,"['डफा', 'डफ']"
डफावर,['डफ']
डफावरची,['डफाव']
डबकी,[]
डबके,[]
डबक्यात,['डबक्']
डबक्यातले,['डबक्या']
डबक्यातल्या,"['डबक्यातल', 'डबक्य']"
डबक्यातून,"['डबक्य', 'डबक्यात', 'डबक्या']"
डबक्यापुरत्याच,"['डबक्यापुरत्य', 'डबक्यापुरत्']"
डबक्यामध्ये,"['डबक्य', 'डबक्यामध']"
डबक्यावर,"['डबक्य', 'डबक', 'डबक्य']"
डबघाई,[]
डबघाईची,[]
डबघाईला,[]
डबघाईस,[]
डबडं,[]
डबडबतो,[]
डबडबत्या,['डबडबत']
डबडबले,[]
डबडबलेय,[]
डबडबलेला,"['डबडब', 'डबडबल']"
डबडबलेले,"['डबडब', 'डबडबल']"
डबडबलेलेच,"['डबडबल', 'डबडबले']"
डबडबलेल्या,"['डबडबल', 'डबडबलेल', 'डबडब']"
डबडबलेही,[]
डबडबायचे,['डबडबाय']
डबडबून,['डबडब']
डबडा,[]
डबड्यावजा,['डबड्या']
डबड्यावर,"['डबड्य', 'डबड', 'डबड्य']"
डबल,[]
डबलफास्ट,[]
डबलरोल्सचा,[]
