word,stemed
दंग,[]
दंगल,[]
दंगलखोरांवर,['दंगलखोर']
दंगलपीडित,[]
दंगलविरोधी,[]
दंगलसदृश,[]
दंगली,[]
दंगलींची,['दंगल']
दंगलींचे,['दंगल']
दंगलींमधील,[]
दंगलींमध्ये,[]
दंगलींमुळे,['दंगल']
दंगलींवर,['दंगल']
दंगलींसाठी,[]
दंगलीचं,['दंगल']
दंगलीचा,['दंगल']
दंगलीची,['दंगल']
दंगलीचे,['दंगल']
दंगलीच्या,"['दंगलीच', 'दंगल']"
दंगलीच्यावेळी,"['दंगलीच्याव', 'दंगलीच्य']"
दंगलीत,['दंगल']
दंगलीतही,['दंगलीत']
दंगलीनंतर,['दंगल']
दंगलीनंतरचा,['दंगलीन']
दंगलीपर्यंत,[]
दंगलीपासून,['दंगलीपास']
दंगलीबाबत,[]
दंगलीमुळे,['दंगल']
दंगलीला,['दंगल']
दंगलीवर,['दंगल']
दंगा,[]
दंगाच,['दंग']
दंगामस्ती,[]
दंगामस्तीत,['दंगामस्त']
दंगे,[]
दंगेकरी,[]
दंगेखोर,[]
दंगेधोपे,[]
दंग्याचा,"['दंग्या', 'दंग्य', 'दंग्य']"
दंग्यात,['दंग्']
दंग्यानंतर,"['दंग्यान', 'दंग्य']"
दंग्यामुळे,"['दंग्याम', 'दंग्य', 'दंग']"
दंग्याला,"['दंग्य', 'दंग्य']"
दंड,[]
दंडक,[]
दंडकच,[]
दंडकामुळे,['दंडक']
दंडकारण्याचा,"['दंडकारण्या', 'दंडकारण्य', 'दंडकारण्य']"
दंडकारण्यातून,"['दंडकारण्य', 'दंडकारण्यात', 'दंडकारण्या']"
दंडनीती,['दंडनी']
दंडनीय,[]
दंडवत,[]
दंडविधान,[]
दंडविधानाखाली,['दंडविधान']
दंडविधानाच्या,"['दंडविधानाच्', 'दंडविधान', 'दंडविधानाच']"
दंडविधानात,[]
दंडविधानातील,"['दंडविधाना', 'दंडविधान']"
दंडव्याज,['दंडव्']
दंडसंहिता,[]
दंडसंहितेचे,[]
दंडसंहितेच्या,"['दंडसंह', 'दंडसंहितेच']"
दंडही,[]
दंडांची,['दंड']
दंडांमुळे,[]
दंडांवरून,"['दंडांवर', 'दंड', 'दंडां']"
दंडाचा,"['दंडा', 'दंड']"
दंडाचाही,"['दंडाचा', 'दंडाच']"
दंडाची,"['दंडा', 'दंड']"
दंडाचे,"['दंडा', 'दंड']"
दंडाच्या,"['दंडाच्', 'दंड', 'दंडाच']"
दंडात,[]
दंडात्मक,['दंड']
दंडाधिकारी,[]
दंडाधिकाऱ्यांकडे,['दंडाधिकाऱ्यां']
दंडाधिकाऱ्यांच्या,"['दंडाधिकाऱ्यांच', 'दंडाधिकाऱ्य']"
दंडाधिकाऱ्यांना,['दंडाधिकाऱ्या']
दंडापासून,"['दंडापास', 'दंड']"
दंडाला,['दंड']
दंडावर,['दंड']
दंडावरच,['दंडा']
दंडावरून,"['दंड', 'दंडावर', 'दंडाव']"
दंडाव्यतिरिक्त,[]
दंडास,[]
दंडासह,[]
दंडासारख्या,['दंडासारख']
दंडित,[]
दंडितही,[]
दंडुका,[]
दंडुकेशाही,[]
दंडुक्यावर,"['दंडुक्य', 'दंडुक', 'दंडुक्य']"
दंडुक्याशिवाय,"['दंडुक्याशिव', 'दंडुक्याशि', 'दंडुक्य']"
दंडेलशाही,[]
दंडेलशाहीचे,['दंडेलशाह']
दंडेली,['दंड']
दंतकथा,[]
दंतकथांचे,['दंतकथ']
दंतकथांच्या,"['दंतकथांच', 'दंतकथ']"
दंतकथांमध्ये,['दंतकथ']
दंतकथेचा,[]
दंतकथेद्वारे,[]
दंतकथेनुसार,[]
दंतकथेपासून,['दंतकथेपास']
दंतकथेवर,[]
दंतकथेवरील,[]
दंतचिकित्सक,[]
दंतचिकित्सकांकडून,['दंतचिकित्सकांकड']
दंतचिकित्सा,[]
दंतपंक्ती,[]
दंतपंक्तींमधील,[]
दंतपंक्तीवर,['दंतपंक्त']
दंतमंजन,[]
दंतरुग्ण,[]
दंतरोग,[]
दंतरोगतज्ज्ञ,[]
