word,stemed
ढंग,[]
ढंगदार,[]
ढंगाचं,"['ढंगा', 'ढंग']"
ढंगाचा,"['ढंगा', 'ढंग']"
ढंगाची,"['ढंगा', 'ढंग']"
ढंगाचे,"['ढंगा', 'ढंग']"
ढंगाच्या,"['ढंगाच्', 'ढंग', 'ढंगाच']"
ढंगात,[]
ढंगातल्या,"['ढंगातल', 'ढंग']"
ढंगातील,"['ढंगा', 'ढंग']"
ढंगानं,[]
ढंगाने,[]
ढकल,[]
ढकलगाडीची,['ढकलगाड']
ढकलणं,[]
ढकलणंही,[]
ढकलणारा,[]
ढकलणारे,['ढकल']
ढकलणाऱ्या,"['ढकल', 'ढकलणाऱ']"
ढकलणाऱ्यांना,"['ढकलणाऱ', 'ढकलणाऱ्या']"
ढकलणे,[]
ढकलण्याचा,"['ढकलण्या', 'ढकलण्य', 'ढकलण्य']"
ढकलण्याची,"['ढकलण्या', 'ढकलण्य', 'ढकलण्य', 'ढकलण']"
ढकलण्याचीही,"['ढकलण्याची', 'ढकलण्याच', 'ढकलण्याच', 'ढकलण्याच', 'ढकलण्य']"
ढकलण्याचे,"['ढकलण्या', 'ढकलण', 'ढकलण्य', 'ढकलण्य']"
ढकलण्याच्या,"['ढकलण्याच्', 'ढकलण्य', 'ढकलण्याच']"
ढकलण्यात,['ढकलण्']
ढकलण्यापुरताच,"['ढकलण्यापुरत', 'ढकलण्यापुर']"
ढकलण्यापेक्षा,"['ढकलण्यापेक', 'ढकलण्य']"
ढकलण्यास,['ढकलण्']
ढकलण्यासाठी,"['ढकलण्यास', 'ढकलण्य']"
ढकलण्यासारखे,"['ढकलण', 'ढकलण्यासा']"
ढकलत,[]
ढकलतच,[]
ढकलता,[]
ढकलतात,['ढकल']
ढकलते,[]
ढकलतो,[]
ढकलपंचीमुळे,['ढकलपंच']
ढकलपट्टी,[]
ढकलपत्रांच्या,"['ढकलपत्रांच', 'ढकलपत्र']"
ढकललं,[]
ढकललंय,['ढकल']
ढकलला,[]
ढकललास,[]
ढकलली,[]
ढकलले,[]
ढकललेले,"['ढकल', 'ढकलल']"
ढकलल्या,['ढकलल']
ढकलल्याचा,"['ढकलल्या', 'ढकलल्य', 'ढकलल्य']"
ढकलल्यामुळे,"['ढकलल्याम', 'ढकलल्य', 'ढकलल']"
ढकलल्यास,['ढकलल्']
ढकला,[]
ढकलाढकली,[]
