word,stemed
धंदयाशिवाय,"['धंदयाशिव', 'धंदय']"
धंदा,[]
धंदाच,['धंद']
धंदाही,[]
धंदे,[]
धंदेच,[]
धंदेचालकांना,[]
धंदेवाईक,[]
धंदेवाईकतेचे,[]
धंदेवाली,[]
धंदेवाले,[]
धंदेवाल्यांकडून,"['धंदेवाल्यांकड', 'धंदेवाल्यांक']"
धंदेवाल्यांना,['धंदेवाल्या']
धंदेशिक्षण,[]
धंद्यांची,"['धंद्य', 'धंद्या']"
धंद्यांत,['धंद्य']
धंद्यांतून,"['धंद्यांत', 'धंद्यां']"
धंद्यांना,['धंद्या']
धंद्यांनाच,"['धंद्यांन', 'धंद्यां']"
धंद्यांनी,"['धंद्या', 'धंद्य']"
धंद्यांपेक्षा,"['धंद्यांपेक', 'धंद्य']"
धंद्यांमुळे,['धंद्यांम']
धंद्यांविरोधात,['धंद्यांविरो']
धंद्यांविरोधातील,"['धंद्यांविरोधा', 'धंद्यांविरोधा', 'धंद्यांविरोध']"
धंद्यांसाठी,"['धंद्य', 'धंद्यांस']"
धंद्याकडे,"['धंद्य', 'धंद्या']"
धंद्याचा,"['धंद्या', 'धंद्य', 'धंद्य']"
धंद्याची,"['धंद्या', 'धंद्य', 'धंद्य', 'धंद']"
धंद्याचे,"['धंद्या', 'धंद', 'धंद्य', 'धंद्य']"
धंद्याच्या,"['धंद्याच्', 'धंद्य', 'धंद्याच']"
धंद्यात,['धंद्']
धंद्यातला,"['धंद्या', 'धंद्य']"
धंद्यातल्या,"['धंद्यातल', 'धंद्य']"
धंद्यातील,"['धंद्या', 'धंद्या', 'धंद्य']"
धंद्याने,"['धंद्य', 'धंद']"
धंद्यापर्यंत,['धंद्यापर्']
धंद्याबरोबर,"['धंद्याबर', 'धंद्य']"
धंद्याबाबतचे,"['धंद्याबाब', 'धंद्याब']"
धंद्यामध्ये,"['धंद्य', 'धंद्यामध']"
धंद्याला,"['धंद्य', 'धंद्य']"
धंद्यावर,"['धंद्य', 'धंद', 'धंद्य']"
धंद्यावरची,"['धंद्याव', 'धंद्य', 'धंद्याव']"
धंद्याशिवाय,"['धंद्याशिव', 'धंद्याशि', 'धंद्य']"
धंद्याशी,"['धंद्य', 'धंद्य']"
धंद्यासाठी,"['धंद्यास', 'धंद्य']"
धकाधकी,[]
धकाधकीचे,['धकाधक']
धकाधकीच्या,"['धकाधकीच', 'धकाधक']"
धकाधकीत,['धकाधक']
धकाधकीतून,"['धकाधकीत', 'धकाधकीत', 'धकाधक']"
धकाधकीने,[]
धकाधकीमुळे,['धकाधक']
धक्का,[]
धक्काच,['धक्क']
धक्कातंत्र,[]
धक्कादायक,['धक्कादा']
धक्कादायकही,['धक्कादायक']
धक्काधक्की,[]
धक्काबुक्की,[]
धक्काबुक्कीला,['धक्काबुक्क']
धक्काबुक्कीही,['धक्काबुक्क']
धक्काही,[]
धक्की,[]
धक्के,[]
धक्केही,[]
धक्क्यांचा,"['धक्क्य', 'धक्क्या']"
धक्क्यांच्या,"['धक्क्यांच', 'धक्क्य']"
धक्क्यांना,['धक्क्या']
धक्क्यांमागून,"['धक्क्यांमाग', 'धक्क्यांमा']"
धक्क्याइतके,['धक्क्याइ']
धक्क्याची,"['धक्क्या', 'धक्क्य', 'धक्क्य', 'धक्क']"
धक्क्यात,['धक्क्']
धक्क्यातून,"['धक्क्य', 'धक्क्यात', 'धक्क्या']"
धक्क्यानं,['धक्क्य']
धक्क्यानंतर,"['धक्क्यान', 'धक्क्य']"
धक्क्यानंतरचा,"['धक्क्यानंत', 'धक्क्यान']"
धक्क्यानी,['धक्क्य']
धक्क्याने,"['धक्क्य', 'धक्क']"
धक्क्यापासून,"['धक्क्यापास', 'धक्क्यापा', 'धक्क्य']"
धक्क्यापेक्षा,"['धक्क्यापेक', 'धक्क्य']"
धक्क्यामधलं,['धक्क्याम']
धक्क्यामुळे,"['धक्क्याम', 'धक्क्य', 'धक्क']"
धक्क्याला,"['धक्क्य', 'धक्क्य']"
धक्क्यावर,"['धक्क्य', 'धक्क', 'धक्क्य']"
धक्क्यावरून,"['धक्क्य', 'धक्क्यावर', 'धक्क्याव', 'धक्क्य', 'धक्क्याव']"
धक्क्याशी,"['धक्क्य', 'धक्क्य']"
धक्क्यासरशी,['धक्क्यास']
धक्क्यासाठी,"['धक्क्यास', 'धक्क्य']"
धग,[]
धगधग,[]
धगधगणारी,[]
धगधगणारे,['धगधग']
धगधगणाऱ्या,"['धगधग', 'धगधगणाऱ']"
धगधगत,[]
धगधगतं,[]
धगधगता,[]
धगधगती,[]
धगधगते,[]
धगधगत्या,['धगधगत']
धगधगायला,['धगधगाय']
धगधगीत,['धगधग']
धगही,[]
धगीचे,['धग']
धगीच्या,"['धगीच', 'धग']"
धगीनं,[]
धगीने,[]
धजणार,[]
धजत,[]
धजतात,['धज']
धजलात,['धज']
धजले,[]
धजलेला,"['धज', 'धजल']"
धजवली,[]
धजावणार,[]
धजावणाऱ्या,"['धजाव', 'धजावणाऱ']"
धजावत,[]
धजावतात,['धजाव']
धजावतातच,"['धजावत', 'धजावत']"
धजावतील,['धजाव']
धजावला,[]
धजावली,[]
धजावले,[]
धजावलेले,"['धजाव', 'धजावल']"
धजावलो,[]
धजावू,[]
धजावेना,[]
धटिंगण,[]
धटिंगणपणाला,['धटिंगणपण']
धट्टाकट्टा,[]
धट्टीकट्टी,[]
धट्टेकट्टे,[]
धट्ट्याकट्ट्या,['धट्ट्याकट्ट']
धड,[]
धडक,[]
