word,stemed
गँग,[]
गँगचा,[]
गँगची,[]
गँगच्या,['गँगच']
गँगने,[]
गँगबरोबर,[]
गँगमधल्या,['गँगमधल']
गँगमधील,[]
गँगमध्ये,[]
गँगवॉर,[]
गँगवॉरमुळे,[]
गँगस्टर,[]
गँगस्टरपटांचा,['गँगस्टरपट']
गँगस्टरपटांपासून,"['गँगस्टरपटांपास', 'गँगस्टरपट']"
गँगस्टरपटाचे,"['गँगस्टरपटा', 'गँगस्टरपट']"
गँगस्टरांची,['गँगस्टर']
गँगस्टर्स,[]
गँगस्टर्सकडे,[]
गंगा,[]
गंगाकाठचा,[]
गंगाकिनारी,[]
गंगाची,"['गंगा', 'गंग']"
गंगाजमुना,[]
गंगाजल,[]
गंगाजलाचं,"['गंगाजला', 'गंगाजल']"
गंगाजलाचे,"['गंगाजला', 'गंगाजल']"
गंगाजलात,['गंगाज']
गंगाजळ,[]
गंगाजळी,[]
गंगाजळीची,['गंगाजळ']
गंगाजळीत,['गंगाजळ']
गंगाजळीतून,"['गंगाजळीत', 'गंगाजळीत', 'गंगाजळ']"
गंगातीरावरील,['गंगातीराव']
गंगातीर्थात,[]
गंगादिन,[]
गंगाधर,[]
गंगाधरशास्त्री,[]
गंगानदीच्या,"['गंगानदीच', 'गंगानद']"
गंगापूजन,[]
गंगामाई,[]
गंगामाईचे,[]
गंगामातेला,['गंगामात']
गंगामैय्या,['गंगामैय']
गंगायमुना,['गंगायमु']
गंगायमुनांचा,"['गंगायमुनां', 'गंगायमुन']"
गंगार्पण,[]
गंगालहरी,[]
गंगास्तोत्र,[]
गंगास्नान,[]
गंगास्नानाइतके,[]
गंगास्नानाने,[]
गंगास्नानासाठी,['गंगास्नान']
गंगूबाई,[]
गंगूबाईंना,[]
गंगूबाईंनी,[]
गंगूबाईच्या,['गंगूबाईच']
गंगूबाईना,[]
गंगूबाईने,[]
गंगूबाईला,[]
गंगूमावशी,[]
गंगेएवढाच,['गंगेएवढ']
गंगेकडे,[]
गंगेचं,[]
गंगेचा,[]
गंगेची,[]
गंगेचे,[]
गंगेच्या,['गंगेच']
गंगेत,['गंग']
गंगेतील,"['गंगे', 'गंगेत']"
गंगेने,[]
गंगेबद्दल,[]
गंगेबद्दलच्या,['गंगेबद्दलच']
गंगेबाबत,[]
गंगेबाबतही,[]
गंगेमध्ये,[]
गंगेमुळे,[]
गंगेला,['गंग']
गंगेवर,[]
गंगेवरची,[]
गंगेवरच्या,['गंगेवरच']
गंगेवरील,[]
गंगेसाठी,[]
गंगेसारखा,[]
गंगेसारखे,[]
गंगेसारख्या,['गंगेसारख']
गंगोत्री,[]
गंगोत्रीमध्ये,[]
गंज,[]
गंजकी,[]
गंजक्या,['गंजक']
गंजलंच,[]
गंजले,[]
गंजलेला,"['गंज', 'गंजल']"
गंजलेली,"['गंजल', 'गंज']"
गंजलेले,"['गंज', 'गंजल']"
गंजलेल्या,"['गंजल', 'गंजलेल', 'गंज']"
गंजल्या,['गंजल']
गंजल्याचे,"['गंजल्या', 'गंजल', 'गंजल्य', 'गंजल्य']"
गंजल्यावरच,"['गंजल्या', 'गंजल्', 'गंजल्या']"
गंजायचं,['गंजाय']
गंजिफा,[]
गंजी,[]
गंजीफ्रॉक,[]
गंजून,['गंज']
गंड,[]
गंडणार,[]
गंडले,[]
गंडवण्याचा,"['गंडवण्या', 'गंडवण्य', 'गंडवण्य']"
गंडवण्याची,"['गंडवण्या', 'गंडवण्य', 'गंडवण्य', 'गंडवण']"
गंडवण्यासाठी,"['गंडवण्यास', 'गंडवण्य']"
गंडवता,[]
गंडवतील,['गंडव']
गंडवतोय,['गंडव']
गंडवले,[]
गंडवलो,[]
गंडवल्यावर,"['गंडवल्य', 'गंडवल', 'गंडवल्य']"
गंडवागंडवी,[]
गंडवू,[]
गंडवून,['गंडव']
गंडस्थळावर,['गंडस्थळ']
गंडा,[]
गंडांतर,[]
गंडायला,['गंडाय']
गंडेताईतांवर,"['गंडेताईतां', 'गंडेताईत']"
गंतव्य,[]
गंध,[]
गंधक,[]
गंधकाची,"['गंधका', 'गंधक']"
गंधफूल,[]
गंधरेखा,[]
गंधरेखेबद्दल,[]
गंधर्व,[]
गंधर्वपद्धतीनं,[]
गंधर्वसोहळ्याचे,"['गंधर्वसोहळ्या', 'गंधर्वसोहळ', 'गंधर्वसोहळ्य', 'गंधर्वसोहळ्य']"
गंधर्वांची,['गंधर्व']
गंधर्वांनी,['गंधर्व']
गंधर्वाकडे,['गंधर्व']
गंधर्वाचे,"['गंधर्वा', 'गंधर्व']"
गंधर्वाच्या,"['गंधर्वाच्', 'गंधर्व', 'गंधर्वाच']"
गंधर्वानी,[]
गंधर्वाने,[]
गंधर्वाला,['गंधर्व']
गंधलेपण,[]
गंधवारा,[]
गंधवाहक,[]
गंधसंगती,[]
गंधही,[]
गंधहीन,[]
गंधांचं,[]
गंधांची,['गंध']
गंधांचे,['गंध']
गंधाचा,"['गंधा', 'गंध']"
गंधाची,"['गंधा', 'गंध']"
गंधाच्या,"['गंधाच्', 'गंध', 'गंधाच']"
गंधात,[]
गंधातून,"['गंध', 'गंधात']"
गंधानं,[]
गंधाने,[]
गंधार,[]
गंधावरचा,['गंधाव']
गंधावरची,['गंधाव']
गंधाशी,['गंध']
गंधासारखं,[]
गंधासोबत,[]
गंभीर,[]
गंभीरच,[]
गंभीरता,[]
गंभीरतेचा,[]
गंभीरतेची,[]
गंभीरतेतच,['गंभीरते']
गंभीरतेनं,[]
गंभीरतेने,[]
गंभीरपणा,[]
गंभीरपणाचा,"['गंभीरपणा', 'गंभीरपण']"
गंभीरपणानं,[]
गंभीरपणाने,[]
गंभीरपणे,[]
गंभीरप्रवृत्तीचे,['गंभीरप्रवृत्त']
गंभीररीत्या,"['गंभीररीत्', 'गंभीररीत']"
गंभीरही,[]
गंमत,[]
गंमतच,[]
गंमतदार,[]
गंमतशीर,[]
गंमतही,[]
गंऽऽ,[]
गगन,[]
गगनगंध,[]
गगनचुंबी,[]
गगनभेदी,[]
गगनाचा,"['गगना', 'गगन']"
गगनात,[]
गगनाला,['गगन']
गगनालाही,['गगनाल']
गचकली,[]
गचकल्याचं,"['गचकल्या', 'गचकल्य', 'गचकल्य']"
गचका,[]
गचके,[]
गचांडी,[]
गचांड्या,['गचांड']
गचाळ,[]
गचाळपणे,[]
गच्च,[]
गच्चपणे,[]
गच्ची,[]
गच्चीकडे,[]
गच्चीची,['गच्च']
गच्चीच्या,"['गच्चीच', 'गच्च']"
गच्चीत,['गच्च']
गच्चीतच,"['गच्ची', 'गच्च']"
गच्चीतल्या,"['गच्चीतल्', 'गच्चीतल']"
गच्चीतील,"['गच्चीत', 'गच्ची']"
गच्चीतून,"['गच्चीत', 'गच्चीत', 'गच्च']"
गच्चीपर्यंत,[]
गच्चीमध्ये,[]
गच्चीला,['गच्च']
गच्चीवर,['गच्च']
गच्चीवरच्या,"['गच्चीवरच', 'गच्चीवरच']"
गच्चीवरील,['गच्चीव']
गच्चीवरून,"['गच्चीव', 'गच्चीवर']"
गच्च्यांवर,"['गच्च्या', 'गच्च्य']"
गच्छंती,[]
गच्छंतीची,['गच्छंत']
गजकेसरी,[]
गजगती,[]
गजगामिनी,[]
गजगामिनीमागे,[]
गजबज,[]
गजबजतो,[]
गजबजले,[]
गजबजलेलं,['गजबजल']
गजबजलेला,"['गजबज', 'गजबजल']"
गजबजलेली,"['गजबजल', 'गजबज']"
गजबजलेलीही,"['गजबजलेल', 'गजबजलेल', 'गजबजले']"
गजबजलेले,"['गजबज', 'गजबजल']"
गजबजलेल्या,"['गजबजल', 'गजबजलेल', 'गजबज']"
गजबजाट,[]
गजबजाटातही,['गजबजाट']
गजबजाटाने,[]
गजबजाटापासून,"['गजबजाटापास', 'गजबजाट']"
गजबजाटामधेच,['गजबजाटा']
गजबजू,[]
गजबजून,['गजबज']
गजमुखाची,"['गजमुखा', 'गजमुख']"
गजर,[]
गजरचा,[]
गजरही,[]
गजरा,[]
गजराचं,"['गजरा', 'गजर']"
गजराची,"['गजरा', 'गजर']"
गजराच्या,"['गजराच्', 'गजर', 'गजराच']"
गजराज,[]
गजराजही,[]
गजराजाची,"['गजराजा', 'गजराज']"
गजराजाचे,"['गजराजा', 'गजराज']"
गजराजाला,['गजराज']
गजरात,[]
गजरातच,['गजर']
गजरानं,[]
गजरानंतर,['गजर']
गजरामुळे,['गजर']
गजरालाही,['गजराल']
गजरे,[]
गजरेवालीला,['गजरेवाल']
गजरेवाल्याचा,"['गजरेवाल्या', 'गजरेवाल्य', 'गजरेवाल्य']"
गजरेवाल्याने,"['गजरेवाल्य', 'गजरेवाल', 'गजरेवा']"
गजऱ्यांचा,"['गजऱ्य', 'गजऱ्या']"
गजल,[]
गजलेचा,[]
गजलेचे,[]
गजलेच्या,['गजलेच']
गजवदन,[]
गजशाळा,[]
गजांचे,['गज']
गजांच्या,"['गजांच', 'गज']"
गजांतलक्ष्मी,[]
गजांना,[]
गजांनी,['गज']
गजांमधून,['गजांमध']
गजांमधूनच,['गजांमधू']
गजांमध्ये,['गज']
गजांमागे,[]
गजांवर,['गज']
गजाआड,[]
गजाआडून,['गजाआड']
गजाची,"['गजा', 'गज']"
गजाच्या,"['गजाच्', 'गज', 'गजाच']"
गजाजन,[]
गजानन,[]
गजाननराव,[]
गजाननला,[]
गजाननाचे,"['गजानना', 'गजानन']"
गजाननाच्या,"['गजाननाच्', 'गजानन', 'गजाननाच']"
गजाली,[]
गजावर,['गज']
गजेंद्र,[]
गझनी,[]
गझल,[]
गझलकार,[]
गझलकारांकडे,[]
गझलकारांची,['गझलकार']
गझलकारांना,[]
गझलकारांनी,['गझलकार']
गझलकारांनीही,"['गझलकारांन', 'गझलकारां']"
गझलकारांवर,['गझलकार']
गझलकारांशी,[]
गझलकाराला,['गझलकार']
गझलगायन,['गझलगा']
गझलगायनाचा,"['गझलगायना', 'गझलगायन', 'गझलगायना']"
गझलगायनाला,"['गझलगायना', 'गझलगायन']"
गझलगायनासाठी,"['गझलगायनासा', 'गझलगायन']"
गझलच,[]
गझलच्या,['गझलच']
गझलनिर्मितीसाठी,['गझलनिर्मित']
गझलमध्ये,[]
गझललेखन,[]
गझललेखनावर,['गझललेखन']
गझलसंग्रह,[]
गझलसम्राट,[]
गझला,[]
गझलांचा,['गझल']
गझलांची,['गझल']
गझलांचे,['गझल']
गझलांत,[]
गझलांतून,['गझलांत']
गझलांना,[]
गझलांपासून,"['गझलांपास', 'गझल']"
गझलांमध्ये,['गझल']
गझलांवर,['गझल']
गझलांस,[]
गझलाच,['गझल']
गझली,[]
गझलीचा,['गझल']
गझलीचे,['गझल']
गझलीच्या,"['गझलीच', 'गझल']"
गझलीमुळे,['गझल']
गझलेचा,[]
गझलेची,[]
गझलेचे,[]
गझलेच्या,['गझलेच']
गझलेत,['गझल']
गझलेतही,['गझलेत']
गझलेतील,"['गझले', 'गझलेत']"
गझलेमध्ये,[]
गझलेला,"['गझ', 'गझल']"
गझलेशी,[]
गझलेसंबंधीची,['गझलेसंबंध']
गट,[]
गटकला,[]
गटकवू,[]
गटच,[]
गटचर्चा,[]
गटतट,[]
गटतटात,[]
गटनायक,['गटना']
गटनिहाय,['गटनिह']
गटनेते,['गटने']
