word,stemed
इंगळी,[]
इंगळ्या,['इंगळ']
इंगा,[]
इंगित,[]
इंग्रज,[]
इंग्रजच,[]
इंग्रजांचं,[]
इंग्रजांचा,['इंग्रज']
इंग्रजांचाच,"['इंग्रजांच', 'इंग्रजा']"
इंग्रजांची,['इंग्रज']
इंग्रजांचे,['इंग्रज']
इंग्रजांच्या,"['इंग्रजांच', 'इंग्रज']"
इंग्रजांना,[]
इंग्रजांनाच,['इंग्रजांन']
इंग्रजांनी,['इंग्रज']
इंग्रजांनीच,['इंग्रजा']
इंग्रजांनीही,"['इंग्रजांन', 'इंग्रजां']"
इंग्रजांपर्यंत,[]
इंग्रजांपासून,"['इंग्रजांपास', 'इंग्रज']"
इंग्रजांवर,['इंग्रज']
इंग्रजांशी,[]
इंग्रजाचं,"['इंग्रजा', 'इंग्रज']"
इंग्रजाचे,"['इंग्रजा', 'इंग्रज']"
इंग्रजाच्याही,"['इंग्रजाच्या', 'इंग्रजाच', 'इंग्रजाच्य']"
इंग्रजानी,[]
इंग्रजाने,[]
इंग्रजाळलेलं,['इंग्रजाळल']
इंग्रजाळलेला,"['इंग्रजाळ', 'इंग्रजाळल']"
इंग्रजाळलेली,"['इंग्रजाळल', 'इंग्रजाळ']"
इंग्रजाळलेले,"['इंग्रजाळ', 'इंग्रजाळल']"
इंग्रजाळलेल्या,"['इंग्रजाळल', 'इंग्रजाळलेल', 'इंग्रजाळ']"
इंग्रजी,[]
इंग्रजीच,[]
इंग्रजीचं,['इंग्रज']
इंग्रजीचा,['इंग्रज']
इंग्रजीचाच,"['इंग्रजीच', 'इंग्रजी']"
इंग्रजीची,['इंग्रज']
इंग्रजीचीही,"['इंग्रजीच', 'इंग्रजीच']"
इंग्रजीचे,['इंग्रज']
इंग्रजीच्या,"['इंग्रजीच', 'इंग्रज']"
इंग्रजीत,['इंग्रज']
इंग्रजीतच,"['इंग्रजी', 'इंग्रज']"
इंग्रजीतलं,['इंग्रजीत']
इंग्रजीतला,['इंग्रजीत']
इंग्रजीतली,['इंग्रजीत']
इंग्रजीतले,['इंग्रजीत']
इंग्रजीतल्या,"['इंग्रजीतल्', 'इंग्रजीतल']"
इंग्रजीतही,['इंग्रजीत']
इंग्रजीतील,"['इंग्रजीत', 'इंग्रजी']"
इंग्रजीतून,"['इंग्रजीत', 'इंग्रजीत', 'इंग्रज']"
इंग्रजीतूनच,"['इंग्रजीतू', 'इंग्रजीतू', 'इंग्रजी']"
इंग्रजीनं,[]
इंग्रजीने,[]
इंग्रजीपासून,['इंग्रजीपास']
इंग्रजीपुरता,[]
इंग्रजीप्रमाणे,[]
इंग्रजीप्रमाणेच,[]
इंग्रजीबद्दल,[]
इंग्रजीबरोबरच,[]
इंग्रजीमधला,[]
इंग्रजीमधील,[]
इंग्रजीमधून,['इंग्रजीमध']
इंग्रजीमधे,[]
इंग्रजीमधेही,[]
इंग्रजीमध्ये,[]
इंग्रजीमध्येही,[]
इंग्रजीमुळे,['इंग्रज']
इंग्रजीला,['इंग्रज']
इंग्रजीलाही,"['इंग्रज', 'इंग्रजील']"
इंग्रजीवर,['इंग्रज']
इंग्रजीवरही,['इंग्रजीव']
इंग्रजीवाल्यांना,['इंग्रजीवाल्या']
इंग्रजीविषयी,[]
इंग्रजीशी,[]
इंग्रजीसह,[]
इंग्रजीसाठी,['इंग्रज']
इंग्रजीसारख्या,['इंग्रजीसारख']
इंग्रजीसोबत,[]
इंग्रजीही,['इंग्रज']
इंग्लंड,[]
इंग्लंडचं,[]
इंग्लंडचा,[]
इंग्लंडचाच,['इंग्लंडच']
इंग्लंडची,[]
इंग्लंडचीही,['इंग्लंडच']
इंग्लंडचे,[]
इंग्लंडचेच,[]
इंग्लंडच्या,['इंग्लंडच']
इंग्लंडने,[]
इंग्लंडनेच,[]
इंग्लंडपेक्षाही,[]
इंग्लंडबद्दल,[]
इंग्लंडमधला,[]
इंग्लंडमधल्या,['इंग्लंडमधल']
इंग्लंडमधील,[]
इंग्लंडमधून,['इंग्लंडमध']
इंग्लंडमधे,[]
इंग्लंडमधेही,[]
इंग्लंडमध्ये,[]
इंग्लंडमध्येच,[]
इंग्लंडमध्येही,[]
