word,stemed
झंकार,[]
झंकारत,[]
झंकारता,[]
झंकारते,[]
झंकारली,[]
झंकारायला,['झंकाराय']
झंकारू,[]
झंकारून,['झंकार']
झंजट,[]
झंजावात,[]
झंजावातच,['झंजाव']
झंजावातापुढे,[]
झंझट,[]
झंझटच,[]
झंझावात,[]
झंझावाताची,"['झंझावाता', 'झंझावात']"
झंझावाताच्या,"['झंझावाताच्', 'झंझावात', 'झंझावाताच']"
झंझावातात,['झंझावा']
झंझावातापुढे,[]
झंझावातामुळे,['झंझावात']
झंझावाताला,['झंझावात']
झंझावाती,[]
झक,[]
झकझकीत,['झकझक']
झकपक,[]
झकाकी,[]
झकाझकी,[]
झकास,[]
झकासपैकी,[]
झक्क,[]
झक्कपैकी,[]
झक्कास,[]
झक्कासपैकी,[]
झगझगीत,['झगझग']
झगटू,[]
झगडणं,[]
झगडणारा,[]
झगडणारी,[]
झगडण्याच्या,"['झगडण्याच्', 'झगडण्य', 'झगडण्याच']"
झगडण्यात,['झगडण्']
झगडत,[]
झगडतात,['झगड']
झगडताना,[]
झगडतो,[]
झगडतोय,['झगड']
झगडलेल्या,"['झगडल', 'झगडलेल', 'झगड']"
झगडल्यावर,"['झगडल्य', 'झगडल', 'झगडल्य']"
झगडा,[]
झगडायचे,['झगडाय']
झगडावं,[]
झगडावे,[]
झगडून,['झगड']
झगडे,[]
झगड्यांची,"['झगड्य', 'झगड्या']"
झगड्यात,['झगड्']
झगड्याला,"['झगड्य', 'झगड्य']"
झगमग,[]
झगमगणार,[]
झगमगणारे,['झगमग']
झगमगत,[]
झगमगती,[]
झगमगते,[]
झगमगत्या,['झगमगत']
झगमगाट,[]
झगमगाटाकडे,['झगमगाट']
झगमगाटाची,"['झगमगाटा', 'झगमगाट']"
झगमगाटात,[]
झगमगाटाने,[]
झगमगाटापुढे,[]
झगमगाटापेक्षा,['झगमगाट']
झगमगाटामागची,[]
झगमगाटाला,['झगमगाट']
झगमगाटावरून,"['झगमगाट', 'झगमगाटावर', 'झगमगाटाव']"
झगमगाटासाठी,['झगमगाट']
झगमगाटी,[]
झगमगीत,['झगमग']
झगावाली,[]
झगावाल्या,['झगावाल']
झगे,[]
झटक,[]
झटकणार,[]
झटकणारे,['झटक']
झटकणाऱ्या,"['झटक', 'झटकणाऱ']"
झटकणे,[]
झटकण्याचा,"['झटकण्या', 'झटकण्य', 'झटकण्य']"
झटकण्यासाठी,"['झटकण्यास', 'झटकण्य']"
झटकत,[]
झटकतांना,[]
झटकते,[]
झटकतो,[]
झटकन,[]
झटकलं,[]
झटकला,[]
झटकली,[]
झटकले,[]
झटकलेला,"['झटक', 'झटकल']"
झटकलेले,"['झटक', 'झटकल']"
झटकलेल्या,"['झटकल', 'झटकलेल', 'झटक']"
झटकल्याप्रमाणं,['झटकल्याप्रम']
झटकल्यासारखं,"['झटकल्यासा', 'झटकल']"
झटका,[]
झटकायची,['झटकाय']
झटकायला,['झटकाय']
झटकायलाही,['झटकायला']
झटकावी,[]
झटकावून,['झटकाव']
झटकाही,[]
झटकीत,['झटक']
झटकून,['झटक']
झटके,[]
झटकेल,[]
झटक्यांना,['झटक्या']
झटक्यांमुळे,['झटक्यांम']
झटक्यात,['झटक्']
झटक्यातले,['झटक्या']
झटक्यातून,"['झटक्य', 'झटक्यात', 'झटक्या']"
झटक्यानं,['झटक्य']
झटक्यानंतर,"['झटक्यान', 'झटक्य']"
झटक्याने,"['झटक्य', 'झटक']"
झटक्यामुळे,"['झटक्याम', 'झटक्य', 'झटक']"
झटक्यासरशी,['झटक्यास']
झटणारा,[]
झटणारी,[]
झटणारे,['झट']
झटणाऱ्या,"['झट', 'झटणाऱ']"
झटत,[]
झटता,[]
झटतात,['झट']
झटतो,[]
झटदिशी,[]
झटपट,[]
झटपटही,[]
झटले,[]
झटलेले,"['झट', 'झटल']"
झटलो,[]
झटवण्याचे,"['झटवण्या', 'झटवण', 'झटवण्य', 'झटवण्य']"
झटापट,[]
झटापटी,[]
झटापटीच्या,"['झटापटीच', 'झटापट']"
झटापटीत,['झटापट']
झटापटीनंतर,['झटापट']
झटापटीने,[]
झटायची,['झटाय']
झटावे,[]
झटून,['झट']
झट्कन,[]
झडकरी,[]
झडझडून,['झडझड']
झडणारी,[]
झडणे,[]
झडत,[]
झडतात,['झड']
झडती,[]
झडतील,['झड']
झडते,[]
झडतो,[]
झडप,[]
झडपा,[]
झडपांची,['झडप']
झडली,[]
झडलीये,[]
झडले,[]
झडल्या,['झडल']
झडल्याचा,"['झडल्या', 'झडल्य', 'झडल्य']"
झडल्यानंतर,"['झडल्यान', 'झडल्य']"
झडल्यावर,"['झडल्य', 'झडल', 'झडल्य']"
झडीनं,[]
झडून,['झड']
झडेल,[]
झणझणीत,['झणझण']
झणत्कार,[]
झणाणत,[]
झणीं,[]
झण्णकन,[]
झपकन,[]
झपकारायचे,['झपकाराय']
झपझप,[]
झपताल,[]
झपतालात,"['झपता', 'झपता']"
झपाझप,[]
झपाटणारं,[]
झपाटणे,[]
झपाटलं,[]
झपाटलंय,['झपाट']
झपाटला,[]
झपाटले,[]
झपाटलेपण,[]
झपाटलेपणाच,['झपाटलेपण']
