word,stemed
कँटिनचं,[]
कँटिनची,[]
कँटिनबद्दल,[]
कँटिनमधे,[]
कँटिनमधेच,[]
कँटिनला,[]
कँटीन,[]
कँटीनचा,[]
कँटीनच्या,['कँटीनच']
कँटीनपर्यंत,[]
कँटीनमधलं,[]
कँटीनमधले,[]
कँटीनमधल्या,['कँटीनमधल']
कँटीनमध्ये,[]
कँटीनवर,[]
कँडल,[]
कँडललाइट,[]
कँप,[]
कँपमधल्या,['कँपमधल']
कँपमध्ये,[]
कँपवर,[]
कँपवरील,[]
कँपस,[]
कँपसमधली,[]
कँपसवर,[]
कँपससाठी,[]
कँपात,[]
कँपिंगमुळे,[]
कँपेन,[]
कँम्प,[]
कँसरनं,[]
कँसरने,[]
कंकण,[]
कंकणाकृती,[]
कंकणासारखी,['कंकण']
कंगवा,[]
कंगवे,[]
कंगव्याचे,"['कंगव्या', 'कंगव', 'कंगव्य', 'कंगव्य']"
कंगव्याला,"['कंगव्य', 'कंगव्य']"
कंगाल,[]
कंगालपण,[]
कंगालपणाचा,"['कंगालपणा', 'कंगालपण']"
कंगाली,[]
कंगालीतून,"['कंगालीत', 'कंगालीत', 'कंगाल']"
कंगोरे,[]
कंजूष,[]
कंजूषपणा,[]
कंजूषपणाच्या,"['कंजूषपणाच्', 'कंजूषपण', 'कंजूषपणाच']"
कंजूषपणाबद्दल,[]
कंजूषपणे,[]
कंजूषही,[]
कंजूषी,[]
कंजूस,[]
कंजूसपणा,[]
कंझ्युमर,[]
कंटकपथावरूनच,"['कंटकपथा', 'कंटकपथावरू', 'कंटकपथावर']"
कंटाळणार,[]
कंटाळणारच,[]
कंटाळत,[]
कंटाळता,[]
कंटाळतात,['कंटाळ']
कंटाळतेस,[]
कंटाळतो,[]
कंटाळला,[]
कंटाळलास,[]
कंटाळली,[]
कंटाळलीस,[]
कंटाळले,[]
कंटाळलेलं,['कंटाळल']
कंटाळलेला,"['कंटाळ', 'कंटाळल']"
कंटाळलेली,"['कंटाळल', 'कंटाळ']"
कंटाळलेले,"['कंटाळ', 'कंटाळल']"
कंटाळलेलो,['कंटाळल']
कंटाळलेल्या,"['कंटाळल', 'कंटाळलेल', 'कंटाळ']"
कंटाळलेल्याची,"['कंटाळलेल्या', 'कंटाळलेल', 'कंटाळलेल्य', 'कंटाळलेल्य', 'कंटाळलेल', 'कंटाळले']"
कंटाळलो,[]
कंटाळल्या,['कंटाळल']
कंटाळल्यानंतर,"['कंटाळल्यान', 'कंटाळल्य']"
कंटाळल्यासारखे,"['कंटाळल', 'कंटाळल्यासा']"
कंटाळवाणं,[]
कंटाळवाणा,[]
कंटाळवाणी,[]
कंटाळवाणीच,[]
कंटाळवाणे,[]
कंटाळवाणेपण,[]
कंटाळवाण्या,['कंटाळवाण']
कंटाळा,[]
कंटाळाच,['कंटाळ']
कंटाळायचं,['कंटाळाय']
कंटाळाही,[]
कंटाळू,[]
कंटाळून,['कंटाळ']
कंटाळूनच,['कंटाळू']
कंटाळे,[]
कंटाळेन,[]
कंटाळेपर्यंत,[]
कंटाळेल,[]
कंटाळ्याचा,"['कंटाळ्या', 'कंटाळ्य', 'कंटाळ्य']"
कंटाळ्याची,"['कंटाळ्या', 'कंटाळ्य', 'कंटाळ्य', 'कंटाळ']"
कंटाळ्याचे,"['कंटाळ्या', 'कंटाळ', 'कंटाळ्य', 'कंटाळ्य']"
कंटाळ्यात,['कंटाळ्']
कंटाळ्यातही,"['कंटाळ्या', 'कंटाळ्य']"
कंटाळ्याबद्दल,['कंटाळ्याबद']
कंटाळ्याला,"['कंटाळ्य', 'कंटाळ्य']"
कंटाळ्यावर,"['कंटाळ्य', 'कंटाळ', 'कंटाळ्य']"
कंटाळ्याशी,"['कंटाळ्य', 'कंटाळ्य']"
कंटिन्युइटी,[]
कंटेनर,[]
कंटेनरचा,[]
कंटेनरचालक,[]
कंटेनरचालकच,[]
कंटेनरचालकाने,[]
कंटेनरची,[]
कंटेनरमधील,[]
कंटेनरमध्ये,[]
कंटेनरला,[]
कंटेनरवर,[]
कंटेनर्स,[]
कंटेनर्सची,[]
कंटेनर्सच्या,['कंटेनर्सच']
कंटेनर्सपैकी,[]
कंटेनर्समधून,['कंटेनर्समध']
कंटेन्स,[]
कंटेम्पररी,[]
कंट्री,[]
कंट्रोल,[]
कंट्रोलकडून,['कंट्रोलकड']
कंट्रोलच,[]
कंट्रोलचं,[]
कंट्रोलचा,[]
कंट्रोलची,[]
कंट्रोलच्या,['कंट्रोलच']
कंट्रोलमध्ये,[]
कंट्रोलर,[]
कंट्रोलरकडे,[]
कंट्रोलरच्या,['कंट्रोलरच']
कंट्रोलरने,[]
कंट्रोलला,[]
कंट्रोलवर,[]
कंट्रोल्स,[]
कंट्रोल्सद्वारे,[]
कंठ,[]
कंठगत,[]
कंठत,[]
कंठतो,[]
कंठमणी,[]
कंठलेली,"['कंठल', 'कंठ']"
कंठशोष,[]
कंठश्च,[]
कंठस्नान,[]
कंठा,[]
कंठांतून,['कंठांत']
कंठात,[]
कंठातील,"['कंठा', 'कंठ']"
कंठातून,"['कंठ', 'कंठात']"
कंठानं,[]
कंठाने,[]
कंठायचे,['कंठाय']
कंठावे,[]
कंठाशी,['कंठ']
कंठित,[]
कंठी,[]
कंठू,[]
कंठ्यात,['कंठ्']
कंडक्टर,[]
कंडक्टरकडून,['कंडक्टरकड']
कंडक्टरचा,[]
कंडक्टरची,[]
कंडक्टरच्या,['कंडक्टरच']
कंडक्टरदेखील,[]
कंडक्टरनी,[]
कंडक्टरने,[]
कंडक्टरला,[]
कंडक्टरशिवाय,['कंडक्टरशिव']
कंडक्टरशी,[]
कंडक्टरसाहेब,[]
कंडक्टरसाहेबांनी,['कंडक्टरसाहेब']
कंडक्टर्स,[]
कंडिशण्ड,[]
कंडिशन,[]
कंडिशनमध्ये,[]
कंडिशनर,[]
कंडिशनरचा,[]
