word,stemed
खंगणे,[]
खंगत,[]
खंगते,[]
खंगला,[]
खंगली,[]
खंगलेला,"['खंग', 'खंगल']"
खंगलेली,"['खंगल', 'खंग']"
खंगलेले,"['खंग', 'खंगल']"
खंगलेल्याच,"['खंगलेल्य', 'खंगले', 'खंगलेल्', 'खंगल']"
खंगाळून,['खंगाळ']
खंगून,['खंग']
खंजिराचा,"['खंजिरा', 'खंजिर']"
खंजिराच्या,"['खंजिराच्', 'खंजिर', 'खंजिराच']"
खंजिरी,[]
खंजीर,[]
खंड,[]
खंडग्रास,[]
खंडणमंडण,[]
खंडणी,[]
खंडणीखोर,[]
खंडणीचा,['खंडण']
खंडणीच्या,"['खंडणीच', 'खंडण']"
खंडणीप्रकरणी,[]
खंडणीवरून,"['खंडणीव', 'खंडणीवर']"
खंडणीसत्रात,[]
खंडणीसाठी,['खंडण']
खंडणीसारख्या,['खंडणीसारख']
खंडणीस्वारांची,['खंडणीस्वार']
खंडण्या,['खंडण']
खंडन,[]
खंडनमंडनाचा,"['खंडनमंडना', 'खंडनमंडन']"
खंडनही,[]
खंडपीठ,[]
खंडपीठांनी,['खंडपीठ']
खंडपीठाकडे,['खंडपीठ']
खंडपीठाचे,"['खंडपीठा', 'खंडपीठ']"
खंडपीठात,[]
खंडपीठानं,[]
खंडपीठाने,[]
खंडपीठानेच,[]
खंडपीठापुढे,[]
खंडपीठाला,['खंडपीठ']
खंडपीठासमोर,[]
खंडप्राय,['खंडप्र']
खंडांकडे,[]
खंडांखालील,['खंडा']
खंडांचा,['खंड']
खंडांची,['खंड']
खंडांचे,['खंड']
खंडांच्या,"['खंडांच', 'खंड']"
खंडांत,[]
खंडांतले,[]
खंडांतील,['खंडां']
खंडांपासून,"['खंडांपास', 'खंड']"
खंडांमधून,['खंडांमध']
खंडांमध्ये,['खंड']
खंडाच्या,"['खंडाच्', 'खंड', 'खंडाच']"
खंडात,[]
खंडातच,['खंड']
खंडातला,['खंड']
खंडातली,['खंड']
खंडातले,[]
खंडातल्या,"['खंडातल', 'खंड']"
खंडातील,"['खंडा', 'खंड']"
खंडातून,"['खंड', 'खंडात']"
खंडानं,[]
खंडानंतर,['खंड']
खंडाने,[]
खंडामधून,"['खंड', 'खंडामध']"
खंडामध्ये,['खंड']
खंडाला,['खंड']
खंडाळा,[]
खंडाळाच्या,"['खंडाळाच्', 'खंडाळ', 'खंडाळाच']"
खंडाळ्याकडेच,"['खंडाळ्या', 'खंडाळ्याक']"
खंडाळ्याचा,"['खंडाळ्या', 'खंडाळ्य', 'खंडाळ्य']"
खंडाळ्याच्या,"['खंडाळ्याच्', 'खंडाळ्य', 'खंडाळ्याच']"
खंडाळ्यातील,"['खंडाळ्या', 'खंडाळ्या', 'खंडाळ्य']"
खंडाळ्यापासून,"['खंडाळ्यापास', 'खंडाळ्यापा', 'खंडाळ्य']"
खंडाळ्याला,"['खंडाळ्य', 'खंडाळ्य']"
खंडित,[]
खंडिलेले,"['खंडि', 'खंडिल']"
खंडी,[]
खंडीभर,[]
खंडीय,[]
खंडू,[]
खंडेराव,[]
खंडेरावच,[]
खंडेरावही,[]
खंडेरावाचं,"['खंडेरावा', 'खंडेराव']"
खंडेरावाचे,"['खंडेरावा', 'खंडेराव']"
खंडेरावाच्या,"['खंडेरावाच्', 'खंडेराव', 'खंडेरावाच']"
खंडेरावाला,['खंडेराव']
खंडोगणती,[]
खंडोबा,[]
खंडोबाचं,"['खंडोबा', 'खंडोब']"
खंडोबाची,"['खंडोबा', 'खंडोब']"
खंडोबाचे,"['खंडोबा', 'खंडोब']"
खंडोबाच्या,"['खंडोबाच्', 'खंडोब', 'खंडोबाच']"
खंडोबाने,[]
खंडोबाला,['खंडोब']
खंत,[]
खंतही,[]
खंतावणारं,[]
खंतावणारी,[]
खंतावणारे,['खंताव']
खंतावत,[]
खंतावलं,[]
खंतावलेला,"['खंताव', 'खंतावल']"
खंतावलेल्या,"['खंतावल', 'खंतावलेल', 'खंताव']"
खंतावून,['खंताव']
खंदक,[]
