word,stemed
लँग्वेज,[]
लँग्वेजमध्ये,[]
लँग्वेजेस,[]
लँड,[]
लँडमार्क,[]
लँडलाईन,[]
लँडलाईनचे,[]
लँडस्केप,[]
लँडिंग,[]
लँडिंगसाठी,[]
लँडींग,[]
लंका,[]
लंकादहनाचा,"['लंकादहना', 'लंकादहन']"
लंकेकडे,[]
लंकेचा,[]
लंकेचे,[]
लंकेच्या,['लंकेच']
लंकेत,['लंक']
लंकेमध्ये,[]
लंकेला,['लंक']
लंकेस,[]
लंकेसारखी,[]
लंगडणं,[]
लंगडणारी,[]
लंगडत,[]
लंगडतायत,['लंगडता']
लंगडा,[]
लंगडी,[]
लंगडीच्या,"['लंगडीच', 'लंगड']"
लंगडे,[]
लंगड्या,['लंगड']
लंगड्याचा,"['लंगड्या', 'लंगड्य', 'लंगड्य']"
लंगोट,[]
लंगोटात,[]
लंगोटी,[]
लंगोटीचा,['लंगोट']
लंगोटीमित्र,[]
लंगोटीयार,[]
लंघन,[]
लंघनाचा,"['लंघना', 'लंघन']"
लंच,[]
लंचचं,[]
लंचच्या,['लंचच']
लंचटाईम,[]
लंचटाईमला,[]
लंचबॉक्स,[]
लंचमध्ये,[]
लंचला,[]
लंचसाठी,[]
लंडन,[]
लंडनइतकी,[]
लंडनकरांना,[]
लंडनचं,[]
लंडनचा,[]
लंडनची,[]
लंडनचे,[]
लंडनच्या,['लंडनच']
लंडनने,[]
लंडनभर,[]
लंडनमधलं,[]
लंडनमधली,[]
लंडनमधल्या,['लंडनमधल']
लंडनमधील,[]
लंडनमधीलच,[]
लंडनमधून,['लंडनमध']
लंडनमध्ये,[]
लंडनमध्येच,[]
लंडनमध्येही,[]
लंडनला,[]
लंडनलाही,[]
लंडनवरून,['लंडनवर']
लंडनवासियांचे,['लंडनवासिय']
लंडनवासीयांनी,['लंडनवासीय']
लंडनशी,[]
लंडनसारखाच,['लंडनसारख']
लंडनस्थित,[]
लंडनहून,['लंडनह']
लंपट,[]
लंपटता,[]
लंपटपणा,[]
लंपास,[]
लंबक,[]
लंबकाच्या,"['लंबकाच्', 'लंबक', 'लंबकाच']"
लंबगोलाकार,[]
लंबदुभाजक,[]
लंबदुभाजकांना,[]
लंबरेषेचे,[]
लंबवर्तुळाकार,[]
लंबवर्तूळ,[]
लंबा,[]
लंबीचवडी,[]
लंबीचौडी,[]
लंब्याचवड्या,"['लंब्याचवड्', 'लंब्याचवड']"
लंब्याचौड्या,"['लंब्याचौड्', 'लंब्याचौड']"
लकडीपूल,[]
लकब,[]
लकबच,[]
लकबी,[]
लकबींचा,['लकब']
लकबींसह,[]
लकबीचा,['लकब']
लकबीप्रमाणे,[]
लकलकणारा,[]
लकलकणारे,['लकलक']
लकलकीत,['लकलक']
लकवा,[]
लकाकणारे,['लकाक']
लकाकत,[]
लकाकताना,[]
लकाकले,[]
लकाकायचे,['लकाकाय']
लकाकायला,['लकाकाय']
लकाकी,[]
लकाकून,['लकाक']
लकी,[]
लकीर,[]
लकेर,[]
लकेरी,[]
लक्की,[]
लक्झरी,[]
लक्झरीच,[]
लक्तर,[]
लक्तरं,[]
लक्तरांचे,['लक्तर']
लक्तरांप्रमाणे,[]
लक्तरे,[]
लक्तरेच,[]
लक्ष,[]
लक्षं,[]
लक्षच,[]
लक्षण,[]
लक्षणं,[]
लक्षणच,[]
लक्षणांचा,['लक्षण']
लक्षणांच्या,"['लक्षणांच', 'लक्षण']"
लक्षणांना,[]
लक्षणांनी,['लक्षण']
लक्षणांपैकी,[]
लक्षणांवरून,"['लक्षणांवर', 'लक्षण', 'लक्षणां']"
लक्षणाने,[]
लक्षणीय,[]
