word,stemed
मँगो,[]
मँचेस्टर,[]
मँट्रिकपलीकडे,[]
मंगल,[]
मंगलकार्याचे,"['मंगलकार्या', 'मंगलकार', 'मंगलकार्य', 'मंगलकार्य']"
मंगलकार्याच्या,"['मंगलकार्याच्', 'मंगलकार्य', 'मंगलकार्याच']"
मंगलकार्यालये,['मंगलकार्या']
मंगलकार्ये,[]
मंगलप्रभात,[]
मंगलप्रसंगाचे,"['मंगलप्रसंगा', 'मंगलप्रसंग']"
मंगलप्रसंगी,[]
मंगलमय,[]
मंगलमयता,[]
मंगलमूर्ती,[]
मंगलमूर्तीस्वरूप,[]
मंगलसमयी,[]
मंगलस्नान,[]
मंगला,[]
मंगलाचरणाने,['मंगलाचरणा']
मंगलाताई,['मंगला']
मंगलारती,[]
मंगलाष्टक,[]
मंगलाष्टकं,[]
मंगलाष्टकांऐवजी,[]
मंगलाष्टकांना,[]
मंगलाष्टकांबरोबर,[]
मंगलाष्टकाची,"['मंगलाष्टका', 'मंगलाष्टक']"
मंगलाष्टके,[]
मंगलाष्टकेही,[]
मंगलोर,[]
मंगळ,[]
मंगळच,[]
मंगळवार,[]
मंगळवारचा,[]
मंगळवारचे,[]
मंगळवारच्या,['मंगळवारच']
मंगळवारपासून,['मंगळवारपास']
मंगळवारशिवाय,['मंगळवारशिव']
मंगळवारी,[]
मंगळवारीच,[]
मंगळवेढ्याचे,"['मंगळवेढ्या', 'मंगळवेढ', 'मंगळवेढ्य', 'मंगळवेढ्य']"
मंगळसूत्र,[]
मंगळसूत्रं,[]
मंगळसूत्रांची,['मंगळसूत्र']
मंगळसूत्रांचे,['मंगळसूत्र']
मंगळसूत्रावरून,"['मंगळसूत्र', 'मंगळसूत्रावर', 'मंगळसूत्राव']"
मंगळसूत्रे,[]
मंगळही,[]
मंगळागौर,[]
मंगळागौरी,[]
मंगळागौरीला,['मंगळागौर']
मंगळाचा,"['मंगळा', 'मंगळ']"
मंगळाची,"['मंगळा', 'मंगळ']"
मंगळाचे,"['मंगळा', 'मंगळ']"
मंगळाच्या,"['मंगळाच्', 'मंगळ', 'मंगळाच']"
मंगळापासून,"['मंगळापास', 'मंगळ']"
मंगळाभोवती,[]
मंगळामुळे,['मंगळ']
मंगळावर,['मंगळ']
मंगळावरचा,['मंगळाव']
मंगळावारी,[]
मंगळासारखीच,['मंगळा']
मंगळासारखे,[]
