word,stemed
रँगिगशी,[]
रँग्लर,[]
रँडमली,[]
रंकाचा,"['रंका', 'रंक']"
रंकापासून,"['रंकापास', 'रंक']"
रंकाला,['रंक']
रंग,[]
रंगउधळण,[]
रंगकर्म,[]
रंगकर्मी,[]
रंगकर्मीची,['रंगकर्म']
रंगकर्मीनी,[]
रंगकाम,[]
रंगकामाची,"['रंगकामा', 'रंगकाम']"
रंगकामात,[]
रंगकामामुळे,['रंगकाम']
रंगगंधाची,"['रंगगंधा', 'रंगगंध']"
रंगच,[]
रंगचपराक,[]
रंगचित्रे,[]
रंगछटा,[]
रंगछटांचे,['रंगछट']
रंगछटांतून,['रंगछटांत']
रंगज्ञानही,[]
रंगढंग,[]
रंगढंगाशिवाय,"['रंगढंगाशिव', 'रंगढंग']"
रंगणं,[]
रंगणार,[]
रंगणारच,[]
रंगणारे,['रंग']
रंगणाऱ्या,"['रंग', 'रंगणाऱ']"
रंगण्याची,"['रंगण्या', 'रंगण्य', 'रंगण्य', 'रंगण']"
रंगण्यावरून,"['रंगण्य', 'रंगण्यावर', 'रंगण्याव', 'रंगण्य', 'रंगण्याव']"
रंगण्यास,['रंगण्']
रंगण्यासाठी,"['रंगण्यास', 'रंगण्य']"
रंगत,[]
रंगतच,[]
रंगतदार,[]
रंगतात,['रंग']
रंगतातच,"['रंगत', 'रंगत']"
रंगते,[]
रंगतो,[]
रंगथाप,[]
रंगदेवतेच्या,['रंगदेवतेच']
रंगद्रव्य,[]
रंगद्रव्यामुळे,"['रंगद्रव्याम', 'रंगद्रव्य', 'रंगद्रव']"
रंगद्रव्ये,[]
रंगनाथन,[]
रंगपंचमी,[]
रंगपंचमीचे,['रंगपंचम']
रंगपंचमीच्या,"['रंगपंचमीच', 'रंगपंचम']"
रंगपंचमीत,['रंगपंचम']
रंगपंचमीतही,['रंगपंचमीत']
रंगपंचमीतील,"['रंगपंचमीत', 'रंगपंचमी']"
रंगपंचमीनंतर,['रंगपंचम']
रंगपंचमीपर्यंत,[]
रंगपंचमीसारखी,['रंगपंचम']
रंगपंचमीसारख्या,['रंगपंचमीसारख']
रंगपंचमीही,['रंगपंचम']
रंगपटात,[]
रंगपटातील,"['रंगपटा', 'रंगपट']"
रंगपेटी,[]
रंगपेटीतून,"['रंगपेटीत', 'रंगपेटीत', 'रंगपेट']"
रंगपेट्या,['रंगपेट']
रंगबदल,[]
रंगबदलामुळे,['रंगबदल']
रंगबिरंगी,[]
रंगबेरंगी,[]
रंगभवन,[]
रंगभूमी,[]
रंगभूमीकडे,[]
रंगभूमीचं,['रंगभूम']
रंगभूमीचा,['रंगभूम']
रंगभूमीची,['रंगभूम']
रंगभूमीचे,['रंगभूम']
रंगभूमीच्या,"['रंगभूमीच', 'रंगभूम']"
रंगभूमीदिन,[]
रंगभूमीपर्यंत,[]
रंगभूमीला,['रंगभूम']
रंगभूमीवर,['रंगभूम']
रंगभूमीवरच,['रंगभूमी']
रंगभूमीवरचं,['रंगभूमीव']
रंगभूमीवरचा,['रंगभूमीव']
रंगभूमीवरच्या,"['रंगभूमीवरच', 'रंगभूमीवरच']"
रंगभूमीवरही,['रंगभूमीव']
रंगभूमीवरील,['रंगभूमीव']
रंगभूमीविषयक,[]
रंगभूमीसाठी,['रंगभूम']
रंगभूषा,[]
रंगभूषाकार,[]
रंगभूषाकारसुद्धा,[]
रंगभूषाकारांकडे,[]
रंगभूषाकारांना,[]
रंगभूषाकारांनी,['रंगभूषाकार']
रंगभूषाकाराचा,"['रंगभूषाकारा', 'रंगभूषाकार']"
रंगभूषाकाराचे,"['रंगभूषाकारा', 'रंगभूषाकार']"
रंगभूषाकाराने,[]
रंगभूषाकाराला,['रंगभूषाकार']
रंगभूषाच,['रंगभूष']
रंगभूषाशास्त्र,[]
रंगभूषासंकल्पक,[]
रंगभूषासंकल्पकाने,[]
रंगभूषासंकल्पन,[]
रंगभूषासंकल्पनात,[]
रंगभूषासंयोजन,[]
रंगभूषाही,[]
रंगभूषेऐवजी,[]
रंगभूषेचं,[]
रंगभूषेचंही,[]
रंगभूषेचा,[]
रंगभूषेचाच,['रंगभूषेच']
रंगभूषेचाही,[]
रंगभूषेची,[]
रंगभूषेचे,[]
रंगभूषेच्या,['रंगभूषेच']
रंगभूषेत,['रंगभूष']
रंगभूषेतील,"['रंगभूषे', 'रंगभूषेत']"
रंगभूषेतून,"['रंगभूषेत', 'रंगभूषेत']"
रंगभूषेनुसार,[]
रंगभूषेने,[]
रंगभूषेपासून,['रंगभूषेपास']
रंगभूषेबद्दल,[]
रंगभूषेला,['रंगभूष']
रंगभूषेवर,[]
रंगभूषेशिवाय,['रंगभूषेशिव']
रंगभूषेसाठी,[]
रंगभेदाचा,"['रंगभेदा', 'रंगभेद']"
रंगभेदाचे,"['रंगभेदा', 'रंगभेद']"
रंगमंच,[]
रंगमंचाखाली,['रंगमंच']
रंगमंचाखालून,['रंगमंचाखाल']
रंगमंचाची,"['रंगमंचा', 'रंगमंच']"
रंगमंचाच्या,"['रंगमंचाच्', 'रंगमंच', 'रंगमंचाच']"
रंगमंचापर्यंत,[]
रंगमंचापुढे,[]
रंगमंचाला,['रंगमंच']
रंगमंचावर,['रंगमंच']
रंगमंचावरच,['रंगमंचा']
रंगमंचावरचे,['रंगमंचाव']
रंगमंचावरील,['रंगमंचाव']
रंगमंचावरून,"['रंगमंच', 'रंगमंचावर', 'रंगमंचाव']"
रंगमंदिराच्या,"['रंगमंदिराच्', 'रंगमंदिर', 'रंगमंदिराच']"
रंगमंदिरात,[]
रंगमहाल,[]
रंगमहालात,"['रंगमहा', 'रंगमहा']"
रंगमुक्त,[]
रंगरंगोटी,[]
रंगरंगोटीची,['रंगरंगोट']
रंगरंगोटीचे,['रंगरंगोट']
रंगरंगोटीला,['रंगरंगोट']
रंगरंगोटीवरच,['रंगरंगोटी']
रंगरूप,[]
रंगरूपाची,"['रंगरूपा', 'रंगरूप']"
रंगरूपात,[]
रंगरूपाला,['रंगरूप']
रंगरेषा,[]
रंगरेषांचा,['रंगरेष']
रंगरेषांना,[]
रंगलं,[]
रंगलंय,['रंग']
रंगला,[]
रंगलाच,['रंगल']
रंगलाय,['रंगल']
रंगली,[]
रंगले,[]
रंगलेलं,['रंगल']
रंगलेला,"['रंग', 'रंगल']"
रंगलेली,"['रंगल', 'रंग']"
रंगलेले,"['रंग', 'रंगल']"
रंगलेल्या,"['रंगल', 'रंगलेल', 'रंग']"
रंगलेही,[]
रंगलो,[]
रंगल्या,['रंगल']
रंगवणं,[]
रंगवणार,[]
रंगवणारा,[]
रंगवणारी,[]
रंगवणारे,['रंगव']
रंगवणे,[]
रंगवण्याइतके,['रंगवण्याइ']
रंगवण्याचा,"['रंगवण्या', 'रंगवण्य', 'रंगवण्य']"
रंगवण्याची,"['रंगवण्या', 'रंगवण्य', 'रंगवण्य', 'रंगवण']"
रंगवण्याचे,"['रंगवण्या', 'रंगवण', 'रंगवण्य', 'रंगवण्य']"
रंगवण्यात,['रंगवण्']
रंगवण्यापासून,"['रंगवण्यापास', 'रंगवण्यापा', 'रंगवण्य']"
रंगवण्यासाठी,"['रंगवण्यास', 'रंगवण्य']"
रंगवण्यासारखे,"['रंगवण', 'रंगवण्यासा']"
रंगवत,[]
रंगवता,[]
रंगवतात,['रंगव']
रंगवताना,[]
रंगवतील,['रंगव']
रंगवते,[]
रंगवतो,[]
रंगवलं,[]
रंगवला,[]
रंगवली,[]
रंगवले,[]
रंगवलेलं,['रंगवल']
रंगवलेला,"['रंगव', 'रंगवल']"
रंगवलेली,"['रंगवल', 'रंगव']"
रंगवलेलीही,"['रंगवलेल', 'रंगवलेल', 'रंगवले']"
रंगवलेले,"['रंगव', 'रंगवल']"
रंगवलेल्या,"['रंगवल', 'रंगवलेल', 'रंगव']"
रंगवल्या,['रंगवल']
रंगवल्यावर,"['रंगवल्य', 'रंगवल', 'रंगवल्य']"
रंगवा,[]
रंगवायचं,['रंगवाय']
रंगवायचा,['रंगवाय']
रंगवायची,['रंगवाय']
रंगवायचे,['रंगवाय']
रंगवायला,['रंगवाय']
रंगवाले,[]
रंगवावा,[]
रंगवावी,[]
रंगवावीत,['रंगवाव']
रंगवावे,[]
रंगविणारे,['रंगवि']
रंगविणे,[]
रंगविण्यात,['रंगविण्']
रंगविण्यातच,"['रंगविण्य', 'रंगविण्य']"
रंगविण्यातही,"['रंगविण्या', 'रंगविण्य']"
रंगविण्यासाठी,"['रंगविण्यास', 'रंगविण्य']"
रंगवितात,['रंगवि']
रंगविताना,[]
रंगविले,[]
रंगविलेला,"['रंगवि', 'रंगविल']"
रंगविलेली,"['रंगविल', 'रंगवि']"
रंगविलेले,"['रंगवि', 'रंगविल']"
रंगविलेल्या,"['रंगविल', 'रंगविलेल', 'रंगवि']"
रंगविल्या,['रंगविल']
रंगवीत,['रंगव']
रंगवू,[]
रंगवून,['रंगव']
रंगवूनही,['रंगवून']
रंगशारदा,[]
रंगशिल्पाला,['रंगशिल्प']
रंगशोभेचा,[]
रंगसंगती,[]
रंगसंगतींमध्ये,[]
रंगसंगतीचा,['रंगसंगत']
रंगसंगतीची,['रंगसंगत']
रंगसंगतीच्या,"['रंगसंगतीच', 'रंगसंगत']"
रंगसंगतीत,['रंगसंगत']
रंगसंगतीतून,"['रंगसंगतीत', 'रंगसंगतीत', 'रंगसंगत']"
रंगसंगतीने,[]
रंगसंगतीवरून,"['रंगसंगतीव', 'रंगसंगतीवर']"
रंगसंगतीसुद्धा,['रंगसंगत']
रंगसंमेलनात,[]
रंगसफाई,[]
रंगसफेदी,[]
रंगसाहित्य,[]
रंगसुद्धा,[]
रंगही,[]
रंगहीन,[]
रंगांचं,[]
रंगांचा,['रंग']
रंगांचाही,['रंगां']
रंगांची,['रंग']
रंगांचे,['रंग']
रंगांच्या,"['रंगांच', 'रंग']"
रंगांत,[]
रंगांतील,['रंगां']
रंगांतून,['रंगांत']
रंगांना,[]
रंगांनाही,[]
रंगांनी,['रंग']
