word,stemed
शंकर,[]
शंकरचा,[]
शंकरच्या,['शंकरच']
शंकरपाळी,[]
शंकरराव,[]
शंकररावांचा,['शंकरराव']
शंकररावांची,['शंकरराव']
शंकररावांचे,['शंकरराव']
शंकररावांच्या,"['शंकररावांच', 'शंकरराव']"
शंकररावांना,[]
शंकररावांनी,['शंकरराव']
शंकररावांशी,[]
शंकररावाकडे,['शंकरराव']
शंकररावाचं,"['शंकररावा', 'शंकरराव']"
शंकररावाचा,"['शंकररावा', 'शंकरराव']"
शंकररावाची,"['शंकररावा', 'शंकरराव']"
शंकररावाचे,"['शंकररावा', 'शंकरराव']"
शंकररावाच्या,"['शंकररावाच्', 'शंकरराव', 'शंकररावाच']"
शंकररावात,[]
शंकररावाने,[]
शंकररावाला,['शंकरराव']
शंकररावालाही,['शंकररावाल']
शंकरला,[]
शंकरा,[]
शंकरांच्या,"['शंकरांच', 'शंकर']"
शंकरांनी,['शंकर']
शंकराकडे,['शंकर']
शंकराचं,"['शंकरा', 'शंकर']"
शंकराचा,"['शंकरा', 'शंकर']"
शंकराचार्य,"['शंकराचार', 'शंकराचा']"
शंकराचार्यांची,"['शंकराचार्यां', 'शंकराचार्या', 'शंकराचार्य', 'शंकराचार्या']"
शंकराचार्यांचे,"['शंकराचार्यां', 'शंकराचार्या', 'शंकराचार्या', 'शंकराचार्य']"
शंकराचार्यांच्या,"['शंकराचार्यांच्', 'शंकराचार्यांच', 'शंकराचार्यांच', 'शंकराचार्य']"
शंकराचार्यांना,"['शंकराचार्यां', 'शंकराचार्या', 'शंकराचार्या']"
शंकराचार्यांनी,"['शंकराचार्यां', 'शंकराचार्या', 'शंकराचार्या', 'शंकराचार्य']"
शंकराचार्यांमध्ये,"['शंकराचार्यांमध्', 'शंकराचार्यांमध', 'शंकराचार्य', 'शंकराचार्यांमध']"
शंकराचार्यांशी,"['शंकराचार्यां', 'शंकराचार्या', 'शंकराचार्या']"
शंकराचार्याची,"['शंकराचार्या', 'शंकराचार्य', 'शंकराचार्य', 'शंकराचार्य', 'शंकराचार']"
शंकराचार्यानी,"['शंकराचार्या', 'शंकराचार्य', 'शंकराचार्य']"
शंकराचार्यासारखं,"['शंकराचार्यासार', 'शंकराचार्यासा', 'शंकराचार्यासा', 'शंकराचार']"
शंकराची,"['शंकरा', 'शंकर']"
शंकराचीच,"['शंकराच', 'शंकरा']"
शंकराचे,"['शंकरा', 'शंकर']"
शंकराच्या,"['शंकराच्', 'शंकर', 'शंकराच']"
शंकराने,[]
शंकरारावाने,[]
शंकराला,['शंकर']
शंकरावर,['शंकर']
शंकराशी,['शंकर']
शंकरासोबत,[]
शंकऱ्या,['शंकऱ']
शंकऱ्याला,"['शंकऱ्य', 'शंकऱ्य']"
शंका,[]
शंकांचं,[]
शंकांचा,['शंक']
शंकांची,['शंक']
शंकांचे,['शंक']
शंकांचेही,['शंकां']
शंकांना,[]
शंकांनी,['शंक']
शंकाकुशंका,[]
शंकाच,['शंक']
शंकानिरसन,[]
शंकायुक्त,['शंकायुक']
शंकासमाधान,[]
शंकासमाधानासाठी,['शंकासमाधान']
शंकासुर,[]
शंकास्पद,[]
शंकाही,[]
शंकित,[]
शंकू,[]
शंकूच्या,['शंकूच']
शंकेखोर,[]
शंकेचं,[]
शंकेचा,[]
शंकेची,[]
शंकेचे,[]
शंकेच्या,['शंकेच']
शंकेनं,[]
शंकेने,[]
शंकेला,['शंक']
शंख,[]
शंखध्वनी,[]
शंखवटीच्या,"['शंखवटीच', 'शंखवट']"
शंखांच्या,"['शंखांच', 'शंख']"
शंखाखाली,['शंख']
शंखाचा,"['शंखा', 'शंख']"
शंखाची,"['शंखा', 'शंख']"
शंखात,[]
शंखातलं,[]
शंखातली,['शंख']
