word,stemed
टँक,[]
टँकच,[]
टँकची,[]
टँकच्या,['टँकच']
टँकद्वारे,[]
टँकमधील,[]
टँकमध्ये,[]
टँकर,[]
टँकरग्रस्त,[]
टँकरचं,[]
टँकरचा,[]
टँकरचालकाचे,"['टँकरचालका', 'टँकरचालक']"
टँकरची,[]
टँकरच्या,['टँकरच']
टँकरद्वारा,[]
टँकरद्वारे,[]
टँकरने,[]
टँकरमधील,[]
टँकरमधून,['टँकरमध']
टँकरमध्ये,[]
टँकरमुक्त,[]
टँकरला,[]
टँकरवर,[]
टँकरवरच,[]
टँकरवाल्यांच्या,"['टँकरवाल्यांच', 'टँकरवाल्य']"
टँकरसाठी,[]
टँकर्स,[]
टँकर्सचालक,[]
टँकर्सची,[]
टँकर्सचे,[]
टँकर्सवर,[]
टँकर्सवरील,[]
टँकवर,[]
टँकशी,[]
टंकणार,[]
टंकताना,[]
टंकलिखित,[]
टंकलेखक,[]
टंकलेखन,[]
टंकलेखनाचा,"['टंकलेखना', 'टंकलेखन']"
टंकलेखनाच्या,"['टंकलेखनाच्', 'टंकलेखन', 'टंकलेखनाच']"
टंकलेखनामध्ये,['टंकलेखन']
टंकलेखनाला,['टंकलेखन']
टंकायचा,['टंकाय']
टंकायचे,['टंकाय']
टंकावं,[]
टंकित,[]
टंकून,['टंक']
टंगळ,[]
टंगळमंगळ,[]
टंच,[]
टंचाई,[]
टंचाईकाळात,[]
टंचाईग्रस्त,[]
टंचाईग्रस्तांना,[]
टंचाईचं,[]
टंचाईचा,[]
टंचाईची,[]
टंचाईचे,[]
टंचाईच्या,['टंचाईच']
टंचाईत,[]
टंचाईतून,['टंचाईत']
टंचाईनंतरही,[]
टंचाईने,[]
टंचाईबाबत,[]
टंचाईमुक्त,[]
टंचाईमुळे,[]
टंचाईला,[]
टंचाईवर,[]
टंचाईसंदर्भात,[]
टंचाईस्थिती,[]
टक,[]
टकटक,[]
टकमक,[]
टकमका,[]
टकराव,[]
टकरी,[]
टकरींचे,['टकर']
टकरींमुळे,['टकर']
टकरीपेक्षा,[]
टकलापेक्षा,['टकल']
टकलावर,['टकल']
टकलावरचे,['टकलाव']
टकलू,[]
टकल्या,['टकल']
टकळी,[]
टकळ्या,['टकळ']
टकाटक,[]
टकाटका,[]
टकामका,[]
टकुरं,[]
टकुरी,[]
टकुरे,[]
टकूऱ्यात,['टकूऱ्']
टक्क,[]
टक्कर,[]
टक्करल्यासारखे,"['टक्करल', 'टक्करल्यासा']"
टक्करही,[]
टक्कल,[]
टक्का,[]
टक्काही,[]
टक्के,[]
टक्केच,[]
टक्केटोणपे,[]
टक्केवारी,[]
टक्केवारीच,[]
टक्केवारीचे,['टक्केवार']
टक्केवारीच्या,"['टक्केवारीच', 'टक्केवार']"
टक्केवारीत,['टक्केवार']
टक्केवारीतले,['टक्केवारीत']
टक्केवारीने,[]
टक्केवारीवर,['टक्केवार']
टक्केवारीही,['टक्केवार']
टक्केही,[]
टक्क्यांइतकी,['टक्क्यांइ']
टक्क्यांचा,"['टक्क्य', 'टक्क्या']"
टक्क्यांची,"['टक्क्य', 'टक्क्या']"
टक्क्यांचो,['टक्क्या']
टक्क्यांच्या,"['टक्क्यांच', 'टक्क्य']"
टक्क्यांच्यावर,"['टक्क्यांच्य', 'टक्क्यां', 'टक्क्यांच', 'टक्क्यांच्य']"
टक्क्यांत,['टक्क्य']
टक्क्यांदरम्यानची,['टक्क्यांदरम्या']
टक्क्यांना,['टक्क्या']
टक्क्यांनी,"['टक्क्या', 'टक्क्य']"
टक्क्यांपर्यंत,['टक्क्यांपर्']
टक्क्यांपेक्षा,"['टक्क्यांपेक', 'टक्क्य']"
टक्क्यांपेक्षाही,"['टक्क्यांपेक्ष', 'टक्क्यां']"
टक्क्यांपैकी,['टक्क्यांप']
टक्क्यांमध्ये,"['टक्क्य', 'टक्क्यांमध']"
टक्क्यांमध्येही,"['टक्क्यां', 'टक्क्यांमध्य']"
टक्क्यांवर,"['टक्क्या', 'टक्क्य']"
टक्क्यांवरच,"['टक्क्यां', 'टक्क्या']"
टक्क्यांवरून,"['टक्क्यांवर', 'टक्क्य', 'टक्क्यांव', 'टक्क्यां']"
टक्क्यांहून,"['टक्क्य', 'टक्क्यांह', 'टक्क्यां']"
टक्क्यांहूनही,"['टक्क्यां', 'टक्क्यांहून', 'टक्क्यांहू']"
टक्क्याचा,"['टक्क्या', 'टक्क्य', 'टक्क्य']"
टक्क्याचे,"['टक्क्या', 'टक्क', 'टक्क्य', 'टक्क्य']"
टक्क्याच्या,"['टक्क्याच्', 'टक्क्य', 'टक्क्याच']"
