word,stemed
थँक्यू,[]
थँक्स,[]
थंड,[]
थंडगार,[]
थंडगारसे,[]
थंडच,[]
थंडपणा,[]
थंडपणानं,[]
थंडपणाने,[]
थंडपणे,[]
थंडपेय,[]
थंडबुद्धीने,[]
थंडा,[]
थंडाई,[]
थंडावणार,[]
थंडावण्याची,"['थंडावण्या', 'थंडावण्य', 'थंडावण्य', 'थंडावण']"
थंडावत,[]
थंडावते,[]
थंडावलं,[]
थंडावला,[]
थंडावलाय,['थंडावल']
थंडावली,[]
थंडावले,[]
थंडावलेल्या,"['थंडावल', 'थंडावलेल', 'थंडाव']"
थंडावलेही,[]
थंडावलो,[]
थंडावल्या,['थंडावल']
थंडावल्याने,"['थंडावल्य', 'थंडावल', 'थंडाव']"
थंडावा,[]
थंडाव्याचा,"['थंडाव्या', 'थंडाव्य', 'थंडाव्य']"
थंडाव्याचे,"['थंडाव्या', 'थंडाव', 'थंडाव्य', 'थंडाव्य']"
थंडाव्यासोबत,['थंडाव्यास']
थंडी,[]
थंडीच,[]
थंडीचा,['थंड']
थंडीची,['थंड']
थंडीचे,['थंड']
थंडीच्या,"['थंडीच', 'थंड']"
थंडीत,['थंड']
थंडीतली,['थंडीत']
थंडीतलीच,['थंडीतल']
थंडीतही,['थंडीत']
थंडीतापाने,['थंडीतापा']
थंडीतील,"['थंडीत', 'थंडी']"
थंडीनं,[]
थंडीनंतर,['थंड']
थंडीनी,[]
थंडीने,[]
थंडीपाठोपाठ,[]
थंडीपावसात,[]
थंडीपासून,['थंडीपास']
थंडीबद्दल,[]
थंडीबिंडी,[]
थंडीमध्ये,[]
थंडीमुळे,['थंड']
थंडीला,['थंड']
थंडीवर,['थंड']
थंडीवरच,['थंडी']
थंडीवरती,['थंडीव']
थंडीवाऱ्यात,['थंडीवाऱ्']
थंडीसाठी,['थंड']
थंडीसारखा,[]
थंडीसुद्धा,['थंड']
थंडीही,['थंड']
थंडोबा,[]
थंडोबाच,['थंडोब']
थंडोबाला,['थंडोब']
थकण्याची,"['थकण्या', 'थकण्य', 'थकण्य', 'थकण']"
थकत,[]
थकता,[]
थकतात,['थक']
थकते,[]
थकतो,[]
थकबाकी,[]
थकबाकीचा,['थकबाक']
थकबाकीची,['थकबाक']
थकबाकीचे,['थकबाक']
थकबाकीच्या,"['थकबाकीच', 'थकबाक']"
थकबाकीत,['थकबाक']
थकबाकीदारांच्या,"['थकबाकीदारांच', 'थकबाकीदार']"
थकबाकीपोटी,[]
थकबाकीमुळे,['थकबाक']
थकबाकीही,['थकबाक']
थकलं,[]
थकलंय,['थक']
थकला,[]
थकलात,['थक']
थकलाबिकला,[]
थकलाभागला,[]
थकलाय,['थकल']
थकली,[]
थकलीये,[]
थकले,[]
थकलेत,['थकल']
थकलेय,[]
थकलेलं,['थकल']
थकलेला,"['थक', 'थकल']"
थकलेली,"['थकल', 'थक']"
थकलेले,"['थक', 'थकल']"
थकलेल्या,"['थकल', 'थकलेल', 'थक']"
थकलो,[]
थकलोय,[]
थकलोही,[]
थकल्या,['थकल']
थकल्यानंतर,"['थकल्यान', 'थकल्य']"
थकल्याने,"['थकल्य', 'थकल', 'थक']"
थकल्यामुळे,"['थकल्याम', 'थकल्य', 'थकल']"
थकल्यावर,"['थकल्य', 'थकल', 'थकल्य']"
थकल्याशिवाय,"['थकल्याशिव', 'थकल्याशि', 'थकल्य']"
थकल्यासारखं,"['थकल्यासा', 'थकल']"
थकल्यासारखंही,"['थकल्यासारख', 'थकल्य']"
थकल्यासारखी,"['थकल्य', 'थकल', 'थकल्यासा']"
थकवणारे,['थकव']
थकवतो,[]
थकवले,[]
थकवा,[]
थकवाच,['थकव']
थकवायची,['थकवाय']
थकवाही,[]
थकवितात,['थकवि']
थकविल्यावर,"['थकविल्य', 'थकविल', 'थकविल्य']"
थकवून,['थकव']
थकव्याचा,"['थकव्या', 'थकव्य', 'थकव्य']"
थकव्यातून,"['थकव्य', 'थकव्यात', 'थकव्या']"
थकव्याने,"['थकव्य', 'थकव']"
थकव्याला,"['थकव्य', 'थकव्य']"
थकायचा,['थकाय']
थकायला,['थकाय']
थकीत,['थक']
थकू,[]
थकून,['थक']
थक्क,[]
थक्कच,[]
थटून,['थट']
थट्टा,[]
थट्टाच,['थट्ट']
थट्टामस्करी,[]
थट्टाविनोदांनी,['थट्टाविनोद']
थट्टाही,[]
थट्टेखोर,[]
थट्टेचा,[]
थट्टेच्या,['थट्टेच']
थट्टेत,['थट्ट']
थट्टेने,[]
थट्टेनेच,[]
थट्टेवर,[]
थट्टेवाईक,[]
थट्टेवारी,[]
थडकताच,['थडकत']
थडकतील,['थडक']
थडकते,[]
थडकतो,[]
थडकला,[]
थडकली,[]
थडकले,[]
थडकलो,[]
थडकल्या,['थडकल']
थडकू,[]
थडगी,[]
थडगे,[]
थडग्यांची,"['थडग्य', 'थडग्या']"
थडग्यांचे,"['थडग्या', 'थडग्य']"
थडग्याची,"['थडग्या', 'थडग्य', 'थडग्य', 'थडग']"
थडग्याचे,"['थडग्या', 'थडग', 'थडग्य', 'थडग्य']"
थडग्याच्या,"['थडग्याच्', 'थडग्य', 'थडग्याच']"
थडग्यात,['थडग्']
थडग्यातून,"['थडग्य', 'थडग्यात', 'थडग्या']"
थडग्यापाशी,"['थडग्याप', 'थडग्याप']"
थडग्यावर,"['थडग्य', 'थडग', 'थडग्य']"
थडग्यावरील,"['थडग्याव', 'थडग्य', 'थडग्याव']"
थडग्यावरून,"['थडग्य', 'थडग्यावर', 'थडग्याव', 'थडग्य', 'थडग्याव']"
थडथडत,[]
थडथडा,[]
थडथडे,[]
थपडा,[]
थप्प,[]
थप्पड,[]
थप्पडच,[]
थप्पी,[]
थप्प्यांचे,"['थप्प्या', 'थप्प्य']"
थप्प्यांमधून,"['थप्प्यांमध', 'थप्प्यांम']"
थप्प्यांवरून,"['थप्प्यांवर', 'थप्प्य', 'थप्प्यांव', 'थप्प्यां']"
थबकण्यामागील,['थबकण्यामा']
थबकत,[]
थबकता,[]
थबकतात,['थबक']
थबकतो,[]
थबकला,[]
थबकली,[]
थबकले,[]
थबकलेला,"['थबक', 'थबकल']"
थबकलेली,"['थबकल', 'थबक']"
थबकलेले,"['थबक', 'थबकल']"
थबकलो,[]
थबकलोच,[]
थबकल्या,['थबकल']
थबकल्याच,"['थबकल्य', 'थबकल्']"
थबकवणारी,[]
थबकायचा,['थबकाय']
थबकावं,[]
थबकून,['थबक']
थबकेल,[]
थबथबला,[]
थबथबलेली,"['थबथबल', 'थबथब']"
थबथबलेले,"['थबथब', 'थबथबल']"
थबथबीत,['थबथब']
थमवले,[]
थयथय,[]
थयथयाट,[]
थयथयाटातही,['थयथयाट']
थर,[]
थरकतो,[]
थरकल्या,['थरकल']
थरकाप,[]
थरकापच,[]
थरकापलोच,[]
थरथणारे,['थरथ']
थरथर,[]
थरथरणार,[]
थरथरणारा,[]
थरथरणारी,[]
थरथरणारे,['थरथर']
थरथरणार्‍या,[]
थरथरणाऱ्या,"['थरथर', 'थरथरणाऱ']"
थरथरत,[]
थरथरतच,[]
थरथरता,[]
थरथरतात,['थरथर']
थरथरतो,[]
थरथरत्या,['थरथरत']
थरथरलं,[]
थरथरला,[]
थरथरली,[]
थरथरले,[]
थरथरलेली,"['थरथरल', 'थरथर']"
थरथरल्या,['थरथरल']
थरथरल्यासारखा,"['थरथरल्यासा', 'थरथरल']"
थरथरवते,[]
थरथरायला,['थरथराय']
थरथरू,[]
थरथरून,['थरथर']
थरथरे,[]
थरही,[]
थरांकडे,[]
थरांचा,['थर']
थरांची,['थर']
थरांच्या,"['थरांच', 'थर']"
थरांत,[]
थरांतल्या,['थरांतल']
थरांतील,['थरां']
थरांना,[]
थरांपर्यंत,[]
थरांमधून,['थरांमध']
थरांमध्ये,['थर']
थरांमध्येही,['थरां']
थरांवर,['थर']
थरांवरच्या,"['थरांवरच', 'थरांवर']"
थरांवाचून,"['थरांवाच', 'थरांवाच']"
थरांशी,[]
थराकडून,"['थराकड', 'थर']"
थराखाली,['थर']
थराचं,"['थरा', 'थर']"
थराचा,"['थरा', 'थर']"
थराची,"['थरा', 'थर']"
थराचे,"['थरा', 'थर']"
थराच्या,"['थराच्', 'थर', 'थराच']"
थरात,[]
थरातली,['थर']
थरातले,[]
थरातल्या,"['थरातल', 'थर']"
थरातही,['थर']
थरातील,"['थरा', 'थर']"
थरातून,"['थर', 'थरात']"
थरापर्यंत,[]
थरापर्यंतही,[]
थरामध्ये,['थर']
थरामुळे,['थर']
थरार,[]
थरारक,[]
