word,stemed
उंच,[]
उंचउंच,[]
उंचच,[]
उंचच्या,['उंचच']
उंचनिंच,[]
उंचवटा,[]
उंचवटे,[]
उंचवट्यांची,"['उंचवट्य', 'उंचवट्या']"
उंचवट्याइतकी,['उंचवट्याइ']
उंचवट्याकडे,"['उंचवट्य', 'उंचवट्या']"
उंचवट्याचा,"['उंचवट्या', 'उंचवट्य', 'उंचवट्य']"
उंचवट्याच्या,"['उंचवट्याच्', 'उंचवट्य', 'उंचवट्याच']"
उंचवट्यावर,"['उंचवट्य', 'उंचवट', 'उंचवट्य']"
उंचवट्यावरील,"['उंचवट्याव', 'उंचवट्य', 'उंचवट्याव']"
उंचवट्यासाठी,"['उंचवट्यास', 'उंचवट्य']"
उंचवायला,['उंचवाय']
उंचसखल,[]
उंचसखलपणा,[]
उंचही,[]
उंचाडी,[]
उंचापुरा,[]
उंचावणार,[]
उंचावणारा,[]
उंचावणारी,[]
उंचावणाऱ्या,"['उंचाव', 'उंचावणाऱ']"
उंचावणे,[]
उंचावण्याकरिता,['उंचावण्याकर']
उंचावण्याचे,"['उंचावण्या', 'उंचावण', 'उंचावण्य', 'उंचावण्य']"
उंचावण्यास,['उंचावण्']
उंचावण्यासाठी,"['उंचावण्यास', 'उंचावण्य']"
उंचावत,[]
उंचावतंय,[]
उंचावता,[]
उंचावतानाचा,"['उंचावताना', 'उंचावतान']"
उंचावते,[]
उंचावतो,[]
उंचावर,['उंच']
उंचावरचा,['उंचाव']
उंचावरची,['उंचाव']
उंचावरच्या,"['उंचावरच', 'उंचावरच']"
उंचावरील,['उंचाव']
उंचावरून,"['उंच', 'उंचावर', 'उंचाव']"
उंचावला,[]
उंचावली,[]
उंचावलीच,[]
उंचावले,[]
उंचावलेला,"['उंचाव', 'उंचावल']"
उंचावलेली,"['उंचावल', 'उंचाव']"
उंचावलेलीच,"['उंचावले', 'उंचावल']"
उंचावलेले,"['उंचाव', 'उंचावल']"
उंचावलेल्या,"['उंचावल', 'उंचावलेल', 'उंचाव']"
उंचावल्या,['उंचावल']
उंचावल्याच,"['उंचावल्य', 'उंचावल्']"
उंचावल्याचे,"['उंचावल्या', 'उंचावल', 'उंचावल्य', 'उंचावल्य']"
उंचावायचा,['उंचावाय']
उंचावायची,['उंचावाय']
उंचावायला,['उंचावाय']
उंचाविणार,[]
उंचाविण्यासाठी,"['उंचाविण्यास', 'उंचाविण्य']"
उंचाविला,[]
उंचावू,[]
उंचावून,['उंचाव']
उंचावेल,[]
उंची,[]
उंचीइतक्याच,"['उंचीइतक्य', 'उंचीइतक्']"
उंचीच,[]
उंचीचं,['उंच']
उंचीचा,['उंच']
उंचीची,['उंच']
उंचीचे,['उंच']
उंचीच्या,"['उंचीच', 'उंच']"
उंचीत,['उंच']
उंचीने,[]
उंचीनेही,[]
उंचीपर्यंत,[]
उंचीपर्यंतच,[]
उंचीपेक्षा,[]
उंचीपेक्षाही,[]
उंचीबरोबरच,[]
उंचीमागे,[]
उंचीला,['उंच']
उंचीवर,['उंच']
उंचीवरही,['उंचीव']
उंचीवरील,['उंचीव']
उंचीवरून,"['उंचीव', 'उंचीवर']"
उंचीवरूनही,"['उंचीवरू', 'उंचीवरून']"
उंचीशिवाय,['उंचीशिव']
उंचीसमोर,[]
उंचीसारखे,[]
उंचीही,['उंच']
उंचीहून,"['उंच', 'उंचीह']"
उंचेपुरे,[]
उंट,[]
उंटही,[]
उंटांच्या,"['उंटांच', 'उंट']"
उंटांना,[]
उंटांनी,['उंट']
उंटाचं,"['उंटा', 'उंट']"
उंटाचाही,"['उंटाचा', 'उंटाच']"
उंटाची,"['उंटा', 'उंट']"
उंटाचीच,"['उंटाच', 'उंटा']"
उंटाच्या,"['उंटाच्', 'उंट', 'उंटाच']"
उंटाने,[]
उंटाला,['उंट']
उंटावर,['उंट']
उंटावरच्या,"['उंटावरच', 'उंटावरच']"
उंटावरून,"['उंट', 'उंटावर', 'उंटाव']"
उंटासह,[]
उंडारणं,[]
उंडारणारा,[]
उंडारणे,[]
उंडारत,[]
उंडारतात,['उंडार']
उंडारतेस,[]
उंडारतो,[]
उंडारलो,[]
उंडारायचं,['उंडाराय']
उंडारायला,['उंडाराय']
उंडारून,['उंडार']
उंडारेल,[]
उंड्याला,"['उंड्य', 'उंड्य']"
उंदरं,[]
उंदरांचा,['उंदर']
उंदरांचाच,"['उंदरांच', 'उंदरा']"
उंदरांची,['उंदर']
उंदरांचे,['उंदर']
उंदरांच्या,"['उंदरांच', 'उंदर']"
उंदरांना,[]
उंदरांनी,['उंदर']
उंदरांवर,['उंदर']
उंदराकडे,['उंदर']
उंदराघुशींचा,['उंदराघुश']
उंदराचं,"['उंदरा', 'उंदर']"
उंदराचा,"['उंदरा', 'उंदर']"
उंदराची,"['उंदरा', 'उंदर']"
उंदराचे,"['उंदरा', 'उंदर']"
उंदराचेच,"['उंदराच', 'उंदर', 'उंदरा']"
उंदराच्या,"['उंदराच्', 'उंदर', 'उंदराच']"
उंदरानं,[]
उंदराने,[]
उंदराबद्दल,[]
उंदराला,['उंदर']
उंदरावर,['उंदर']
उंदराशिवाय,"['उंदराशिव', 'उंदर']"
उंदरासाठी,['उंदर']
उंदरासारखा,[]
उंदरीघुशींना,['उंदरीघुश']
उंदारांचा,['उंदार']
उंदीर,[]
उंदीरच,[]
उंदीरमांजराचा,"['उंदीरमांजरा', 'उंदीरमांजर']"
उंदीरमामा,[]
उंदीरसुद्धा,[]
उंदीरही,[]
उंधियो,[]
उंधियोची,[]
उंबर,[]
उंबरठ,[]
उंबरठयाच्या,"['उंबरठयाच्', 'उंबरठय', 'उंबरठयाच']"
उंबरठयावर,['उंबरठय']
उंबरठा,[]
उंबरठे,[]
उंबरठ्यापर्यंत,['उंबरठ्यापर्']
उंबरठ्याप्रमाणे,['उंबरठ्याप्रम']
उंबरठ्याबाहेर,['उंबरठ्याबा']
उंबरठ्यामध्ये,"['उंबरठ्य', 'उंबरठ्यामध']"
उंबरठ्यावर,"['उंबरठ्य', 'उंबरठ', 'उंबरठ्य']"
उंबरठ्यावरची,"['उंबरठ्याव', 'उंबरठ्य', 'उंबरठ्याव']"
उंबरठ्यावरील,"['उंबरठ्याव', 'उंबरठ्य', 'उंबरठ्याव']"
उंबरठ्याशी,"['उंबरठ्य', 'उंबरठ्य']"
उंबरा,[]
उंबराच्या,"['उंबराच्', 'उंबर', 'उंबराच']"
उंबरासारखी,['उंबर']
उंबरे,[]
उंबऱ्यांच्या,"['उंबऱ्यांच', 'उंबऱ्य']"
उंबऱ्याच्या,"['उंबऱ्याच्', 'उंबऱ्य', 'उंबऱ्याच']"
उंबऱ्यात,['उंबऱ्']
उंबऱ्यापाशी,"['उंबऱ्याप', 'उंबऱ्याप']"
उंबऱ्यावर,"['उंबऱ्य', 'उंबऱ', 'उंबऱ्य']"
उंबऱ्यावरची,"['उंबऱ्याव', 'उंबऱ्य', 'उंबऱ्याव']"
उःशाप,[]
उःश्वास,[]
उकडणे,[]
उकडत,[]
उकडतं,[]
उकडतंय,[]
उकडतात,['उकड']
उकडलेलं,['उकडल']
उकडलेला,"['उकड', 'उकडल']"
उकडलेली,"['उकडल', 'उकड']"
उकडलेले,"['उकड', 'उकडल']"
