word,stemed
यंडुगुंडू,[]
यंडुगुंडूनी,['यंडुगुंडू']
यंत्र,[]
यंत्रं,[]
यंत्रक्षेत्राशी,"['यंत्रक्षेत्र', 'यंत्रक्षेत्रा']"
यंत्रच,[]
यंत्रज्ञ,[]
यंत्रणा,[]
यंत्रणांकडून,['यंत्रणांकड']
यंत्रणांकडे,[]
यंत्रणांची,['यंत्रण']
यंत्रणांचे,['यंत्रण']
यंत्रणांत,[]
यंत्रणांना,[]
यंत्रणांनाही,[]
यंत्रणांनी,['यंत्रण']
यंत्रणांपासून,"['यंत्रणांपास', 'यंत्रण']"
यंत्रणांपेक्षा,['यंत्रण']
यंत्रणांमधील,[]
यंत्रणांमध्ये,['यंत्रण']
यंत्रणांवरचा,['यंत्रणां']
यंत्रणांशी,[]
यंत्रणाच,['यंत्रण']
यंत्रणासुद्धा,[]
यंत्रणाही,[]
यंत्रणेकडून,['यंत्रणेकड']
यंत्रणेकडे,[]
यंत्रणेचा,[]
यंत्रणेचाही,[]
यंत्रणेची,[]
यंत्रणेचे,[]
यंत्रणेच्या,['यंत्रणेच']
यंत्रणेच्याच,"['यंत्रणेच्य', 'यंत्रणेच्']"
यंत्रणेत,['यंत्रण']
यंत्रणेतले,['यंत्रणेत']
यंत्रणेतल्या,"['यंत्रणेतल', 'यंत्रणेतल्']"
यंत्रणेतील,"['यंत्रणे', 'यंत्रणेत']"
यंत्रणेद्वारे,[]
यंत्रणेनं,[]
यंत्रणेने,[]
यंत्रणेनेच,[]
यंत्रणेपुढील,[]
यंत्रणेपुढे,[]
यंत्रणेमधले,[]
यंत्रणेमधील,[]
यंत्रणेमध्ये,[]
यंत्रणेमार्फत,[]
यंत्रणेमार्फतच,[]
यंत्रणेमुळे,[]
यंत्रणेला,['यंत्रण']
यंत्रणेलाच,"['यंत्रणेल', 'यंत्रणे']"
यंत्रणेलाही,['यंत्रणेल']
यंत्रणेवर,[]
यंत्रणेवरच,[]
यंत्रणेवरचा,[]
यंत्रणेवरील,[]
यंत्रणेवरून,['यंत्रणेवर']
यंत्रणेविरोधात,[]
यंत्रणेविषयी,[]
यंत्रणेव्यतिरिक्त,[]
यंत्रणेशी,[]
यंत्रणेस,[]
यंत्रणेसह,[]
यंत्रणेसाठी,[]
यंत्रणेसारखीच,[]
यंत्रनिर्मित,[]
यंत्रप्रणाली,[]
यंत्रभूमी,[]
यंत्रमाग,[]
यंत्रमागधारक,[]
यंत्रमागधारकांना,[]
यंत्रमागधारकांनी,['यंत्रमागधारक']
यंत्रमागधारकांमध्ये,['यंत्रमागधारक']
यंत्रमागाचा,"['यंत्रमागा', 'यंत्रमाग']"
यंत्रमानव,[]
यंत्रमानवही,[]
यंत्रमानवांचं,[]
यंत्रमानवांची,['यंत्रमानव']
यंत्रमानवांचे,['यंत्रमानव']
यंत्रमानवांच्या,"['यंत्रमानवांच', 'यंत्रमानव']"
यंत्रमानवांतूनच,['यंत्रमानवांतू']
यंत्रमानवांना,[]
यंत्रमानवांमुळे,[]
यंत्रमानवाकडून,"['यंत्रमानवाकड', 'यंत्रमानव']"
यंत्रमानवाचा,"['यंत्रमानवा', 'यंत्रमानव']"
यंत्रमानवाची,"['यंत्रमानवा', 'यंत्रमानव']"
यंत्रमानवाचे,"['यंत्रमानवा', 'यंत्रमानव']"
यंत्रमानवाने,[]
यंत्रमानवाला,['यंत्रमानव']
यंत्रमानवासारखी,['यंत्रमानव']
यंत्रयुग,[]
यंत्रयुगाची,"['यंत्रयुगा', 'यंत्रयुग']"
यंत्रयुगाच्या,"['यंत्रयुगाच्', 'यंत्रयुग', 'यंत्रयुगाच']"
यंत्रयुगात,[]
यंत्रयुगाशी,['यंत्रयुग']
यंत्रवत,[]
यंत्रवादाला,['यंत्रवाद']
यंत्रविज्ञान,[]
यंत्रशाळेत,['यंत्रशाळ']
यंत्रसंबंध,[]
यंत्रसामग्री,[]
यंत्रसामग्रीअभावी,[]
यंत्रसामग्रीचा,['यंत्रसामग्र']
यंत्रही,[]
यंत्रांचं,[]
यंत्रांचा,['यंत्र']
यंत्रांची,['यंत्र']
यंत्रांचे,['यंत्र']
यंत्रांच्या,"['यंत्रांच', 'यंत्र']"
यंत्रांत,[]
यंत्रांनी,['यंत्र']
यंत्रांपैकी,[]
यंत्रांबद्दलची,['यंत्रां']
यंत्रांमध्ये,['यंत्र']
यंत्रांमुळे,[]
यंत्रांविना,[]
यंत्रांसारखी,[]
यंत्राखाली,['यंत्र']
यंत्राचं,"['यंत्रा', 'यंत्र']"
यंत्राचा,"['यंत्रा', 'यंत्र']"
यंत्राची,"['यंत्रा', 'यंत्र']"
यंत्राचे,"['यंत्रा', 'यंत्र']"
यंत्राच्या,"['यंत्राच्', 'यंत्र', 'यंत्राच']"
यंत्राच्यावर,"['यंत्राच्या', 'यंत्राच', 'यंत्राच्य', 'यंत्राच', 'यंत्राच्य']"
यंत्राजवळ,[]
यंत्रात,[]
यंत्रातलं,[]
यंत्रातील,"['यंत्रा', 'यंत्र']"
यंत्रातून,"['यंत्र', 'यंत्रात']"
यंत्राद्वारा,[]
यंत्राने,[]
यंत्राप्रमाणेच,[]
यंत्रामधून,"['यंत्र', 'यंत्रामध']"
यंत्रामागे,[]
यंत्रामुळे,['यंत्र']
यंत्राला,['यंत्र']
यंत्रावर,['यंत्र']
यंत्रावरची,['यंत्राव']
यंत्रावरून,"['यंत्र', 'यंत्रावर', 'यंत्राव']"
यंत्रावळीचा,['यंत्रावळ']
यंत्रासमोर,[]
यंत्रासाठी,['यंत्र']
यंत्रासारखं,[]
यंत्रासारखी,['यंत्र']
यंत्रासारख्या,['यंत्रासारख']
यंत्रासोबत,[]
यंत्रे,[]
यंत्रेच,[]
यंत्रेही,[]
यंत्रोद्योगाच्या,"['यंत्रोद्योगाच्', 'यंत्रोद्योग', 'यंत्रोद्योगाच']"
यंदा,[]
यंदाच,['यंद']
यंदाचं,"['यंदा', 'यंद']"
यंदाचा,"['यंदा', 'यंद']"
यंदाची,"['यंदा', 'यंद']"
यंदाचे,"['यंदा', 'यंद']"
यंदाच्या,"['यंदाच्', 'यंद', 'यंदाच']"
यंदादेखील,[]
यंदापासून,"['यंदापास', 'यंद']"
यंदासाठी,['यंद']
यंदाही,[]
यःकश्चित,[]
यःकश्‍चित,[]
यकृत,[]
यकृताची,"['यकृता', 'यकृत']"
यकृताच्या,"['यकृताच्', 'यकृत', 'यकृताच']"
यक्ष,[]
यक्षकन्या,['यक्षकन']
यक्षकन्येचं,[]
यक्षगान,[]
यक्षनगरी,[]
यक्षपूजा,[]
यक्षप्रश्न,[]
यक्षप्रश्नांचे,['यक्षप्रश्न']
यक्षप्रश्नाचा,"['यक्षप्रश्ना', 'यक्षप्रश्न']"
यक्षप्रश्नावर,['यक्षप्रश्न']
यक्षरात्री,[]
यक्षरात्रीइतकीच,[]
यक्षसृष्टी,[]
यक्षांचा,['यक्ष']
यक्षाची,"['यक्षा', 'यक्ष']"
यक्षाबद्दल,[]
यक्षाला,['यक्ष']
यक्षिणी,[]
यच्चयावत,[]
यजमान,[]
यजमानकृत्य,[]
यजमानपद,[]
यजमानपदाचा,"['यजमानपदा', 'यजमानपद']"
यजमानही,[]
यजमानांचा,['यजमान']
यजमानांची,['यजमान']
यजमानांचे,['यजमान']
यजमानांच्या,"['यजमानांच', 'यजमान']"
यजमानांना,[]
यजमानांनी,['यजमान']
यजमानांबरोबर,[]
यजमानाकडे,['यजमान']
यजमानाचे,"['यजमाना', 'यजमान']"
यजमानाने,[]
यजमानीण,[]
यजमानीणबाई,[]
यजमानीणबाईंना,[]
यजुर्वेद,[]
यजुर्वेदाचा,"['यजुर्वेदा', 'यजुर्वेद']"
यजुर्वेदाच्या,"['यजुर्वेदाच्', 'यजुर्वेद', 'यजुर्वेदाच']"
यजुर्वेदात,[]
यजुर्वेदातील,"['यजुर्वेदा', 'यजुर्वेद']"
यजुर्वेदाने,[]
यजुर्वेदी,[]
यज्ञ,[]
यज्ञकर्म,[]
यज्ञकुंड,[]
यज्ञकुंडात,[]
यज्ञच,[]
यज्ञत्व,[]
