word,main_word
आभाळाचे ,
आभाळाच्या ,
आभाळापेक्षा ,
आभाळावर् , आभाळ
आभाळ ,
आभाराचे ,
आभारी ,
आभार ,
आभलाच ,
आभ्यासामध्येही , अभ्यास
आढावा ,
आढळ् , आढळ
आढळात , आढळणे
आढळ्णारी , आढळणे
आढळ्णारे , आढळणे
आढळ्णे , आढळणे
आढळून , आढळणे
आढळेल , आढळणे
आढळ्ली , आढळणे
आढळ्ल्यास , आढळणे
आढळ्तात , आढळणे
आढळ्त , आढळणे
आढळ्ते , आढळणे
आढळ्तेच , आढळणे
आढळ्तो , आढळणे
आढल्तात , आढळणे
आघाडी ,
आघाडीवर् , आघाडी
आघातांनी , आघात
आघात ,
आई ,
आईशी , आई
आईबापांचीही , आईबाप
आईबापांच्या , आईबाप
आईबाप , आईबाप
आईचा , आई
आईचाही , आई
आईची , आई
आईच ,आई
आईचं , आई
आईचे , आई
आईच्या , आई
आईही ,
आईकडून , आई
आईकडे , आई
आईला , आई
आईलाही , आई
आईमाय , आई
आईमायच्ं , आई
आईमध्ला , आई
आईमध्ये , आई
आईना , आई
आईनी , आई
आईनं , आई
आईने , आई
आईपासून , आई
आईपेक्षा , आई
आईसाठी , आई
आईसमोर , आई
आईस्क्रीम ,
आईस्क्रीमची , आईस्क्रीम
आईसुध्दा , आई
आईवडील , आईवडील
आईवडिलांचे , आईवडील
आईवडिलांच्या , आईवडील
आईवडिलांनी , आईवडील
आईवडिलांसम्वेत , आईवडील
आईवडिलापाशी , आईवडील
आईवडिल , आईवडील
आईवडिलच् , आईवडील
आईविषयी , आई
आझाद ,
आखाडा ,
आखीव , आखीव
आखीवरेखीव , आखीवरेखीव
आखीत , आखणे
आख्खा , आख्खा
आखूड ,
आखून , आखणे
आखणी ,
आखण्यासाठी , आखणे
आखली , आखणे
आखलेल्या , आखणे
आखता , आखणे
आखेर , अखेर
आळा ,
आळी ,
आळीपाळीने , आळीपाळीने
आळीत ,
आळ ,
आळशी ,
आळशीचे , आळशी
आळशीपणा ,
आळसा , आळस
आळसानं , आळस
आळसात , आळस
आळस्पणा , आळशीपणा
आळवायच्या , आळवणे
आळव्ता , आळवणे
आळे ,
आळ्या , अळी
आळ्यासुद्धा , अळी
आं , आ
आंघोळी , आंघोळ
आंघोळ , आंघोळ
आंघुळी , आंघोळ
आंळदी , आळंदी
आंधळा ,
आंधळे ,
आंधळेपणा ,
आंधळेपणाने , आंधळेपणाने
आंधळ्या , आंधळा
आंधळ्याचे ,
आंध्र ,
आंबाजोगाई , आंबाजोगाई
आंबून , आंबणे
आंबळीचे , आंबोळी
आंबट् , आंबट
आंबट्गोड , आंबटगोड
आंबे ,
आंबेडक्रांचे , आंबेडकर
आंबेडक्र , आंबेडकर
आंबेकर् , आंबेकर
आंब्याचं , आंबा
आंब्याच्या ,
आंब्याला ,
आंगठा , आंगठा
आंगठी , आंगठी
आंग्ले ,
आंगुळ ,
आंगुळच् ,
आंकुचित , आकुंचित
आंनद् , आनंद
आंतर् ,
आंतरग्नी , आंतरग्नी
आंतरिक ,
आंतर्जातीय , आंतरजातीय
