word,main_word,stem
आढळ् ,आढळ,् 
आढळात ,आढळ,ात 
आढळ्णारी ,आढळ,्णारी 
आढळ्णारे ,आढळ,्णारे 
आढळ्णे ,आढळ,्णे 
आढळून ,आढळ,ून 
आढळेल ,आढळ,ेल 
आढळ्ली ,आढळ,्ली 
आढळ्ल्यास ,आढळ,्ल्यास 
आढळ्तात ,आढळ,्तात 
आढळ्त ,आढळ,्त 
आढळ्ते ,आढळ,्ते 
आढळ्तेच ,आढळ,्तेच 
आढळ्तो ,आढळ,्तो 
आई ,आई, 
आईशी ,आई,शी 
आईबापांचीही ,आई,बापांचीही 
आईबापांच्या ,आई,बापांच्या 
आईबाप ,आई,बाप 
आईचा ,आई,चा 
आईचाही ,आई,चाही 
आईची ,आई,ची 
आईच ,आई,च 
आईचं ,आई,चं 
आईचे ,आई,चे 
आईच्या ,आई,च्या 
आईही ,आई,ही 
आईकडून ,आई,कडून 
आईकडे ,आई,कडे 
आईला ,आई,ला 
आईलाही ,आई,लाही 
आईमाय ,आई,माय 
आईमायच्ं ,आई,मायच्ं 
आईमध्ला ,आई,मध्ला 
आईमध्ये ,आई,मध्ये 
आईना ,आई,ना 
आईनी ,आई,नी 
आईनं ,आई,नं 
आईने ,आई,ने 
आईपासून ,आई,पासून 
आईपेक्षा ,आई,पेक्षा 
आईसाठी ,आई,साठी 
आईसमोर ,आई,समोर 
आईस्क्रीम ,आई,स्क्रीम 
आईस्क्रीमची ,आई,स्क्रीमची 
आईसुध्दा ,आई,सुध्दा 
आईवडील ,आई,वडील 
आईवडिलांचे ,आई,वडिलांचे 
आईवडिलांच्या ,आई,वडिलांच्या 
आईवडिलांनी ,आई,वडिलांनी 
आईवडिलांसम्वेत ,आई,वडिलांसम्वेत 
आईवडिलापाशी ,आई,वडिलापाशी 
आईवडिल ,आई,वडिल 
आईवडिलच् ,आई,वडिलच् 
आईविषयी ,आई,विषयी 
आईबापांचीही ,आईबापा,ंचीही 
आईबापांच्या ,आईबापा,ंच्या 
आईस्क्रीम ,आईस्क्रीम, 
आईस्क्रीमची ,आईस्क्रीम,ची 
आईवडिलांचे ,आईवडिल,ांचे 
आईवडिलांच्या ,आईवडिल,ांच्या 
आईवडिलांनी ,आईवडिल,ांनी 
आईवडिलांसम्वेत ,आईवडिल,ांसम्वेत 
आईवडिलापाशी ,आईवडिल,ापाशी 
आईवडिल ,आईवडिल, 
आईवडिलच् ,आईवडिल,च् 
आणा ,आण,ा 
आणाशप्था ,आण,ाशप्था 
आणाशप्था ,आण,ाशप्था 
आणावी ,आण,ावी 
आणावयाच्या ,आण,ावयाच्या 
आणावे ,आण,ावे 
आणाया ,आण,ाया 
आणायचा ,आण,ायचा 
आणायची ,आण,ायची 
आणायच्ं ,आण,ायच्ं 
आणायला ,आण,ायला 
आण्ढ् ,आण,्ढ् 
आणी ,आण,ी 
आणील ,आण,ील 
आणीन ,आण,ीन 
आणीत ,आण,ीत 
आणू ,आण,ू 
आणून ,आण,ून 
आण ,आण, 
आणखी ,आण,खी 
आणखीच ,आण,खीच 
आणखीही ,आण,खीही 
आणखीन ,आण,खीन 
आणखीनच् ,आण,खीनच् 
आणणारा ,आण,णारा 
आणणारी ,आण,णारी 
आणणाऱ्या ,आण,णाऱ्या 
आणणार ,आण,णार 
आणणारे ,आण,णारे 
आणणे ,आण,णे 
आणण्याचा ,आण,ण्याचा 
आणण्याची ,आण,ण्याची 
आणण्याचे ,आण,ण्याचे 
आणण्याच्या ,आण,ण्याच्या 
आणण्याजोगे ,आण,ण्याजोगे 
आणण्यासाठी ,आण,ण्यासाठी 
आणण्यात ,आण,ण्यात 
आणची ,आण,ची 
आणचे ,आण,चे 
आणइ ,आण,इ 
आणला ,आण,ला 
आणली ,आण,ली 
आणलीस ,आण,लीस 
आणलीया ,आण,लीया 
आणल्ं ,आण,ल्ं 
आणले ,आण,ले 
आणलेला ,आण,लेला 
आणलेली ,आण,लेली 
आणलेलं ,आण,लेलं 
आणलेले ,आण,लेले 
आणलेल्या ,आण,लेल्या 
आणल्या ,आण,ल्या 
आणल्यासारखेही ,आण,ल्यासारखेही 
आणत् ,आण,त् 
आणता ,आण,ता 
आणताना ,आण,ताना 
आणतात ,आण,तात 
आणते ,आण,ते 
आणतो ,आण,तो 
आणतोस ,आण,तोस 
आणय्ची ,आण,य्ची 
आणय्चे ,आण,य्चे 
आणय्ला ,आण,य्ला 
आणे ,आण,े 
आणेच ,आण,ेच 
आणेसुध्दा ,आण,ेसुध्दा 
आण्हा ,आण,्हा 
आण्हांला ,आण,्हांला 
आण्हांलाही ,आण,्हांलाही 
आण्ही ,आण,्ही 
आणि ,आण,ि 
आणिकांचे ,आण,िकांचे 
आण्यांचा ,आण,्यांचा 
आण्यांची ,आण,्यांची 
आण्याला ,आण,्याला 
आणा ,आण,ा 
आणाशप्था ,आण,ाशप्था 
आणाशप्था ,आण,ाशप्था 
आणावी ,आण,ावी 
आणावयाच्या ,आण,ावयाच्या 
आणावे ,आण,ावे 
आणाया ,आण,ाया 
आणायचा ,आण,ायचा 
आणायची ,आण,ायची 
आणायच्ं ,आण,ायच्ं 
आणायला ,आण,ायला 
आण्ढ् ,आण,्ढ् 
आणी ,आण,ी 
आणील ,आण,ील 
आणीन ,आण,ीन 
आणीत ,आण,ीत 
आणू ,आण,ू 
आणून ,आण,ून 
आण ,आण, 
आणखी ,आण,खी 
आणखीच ,आण,खीच 
आणखीही ,आण,खीही 
आणखीन ,आण,खीन 
आणखीनच् ,आण,खीनच् 
आणणारा ,आण,णारा 
आणणारी ,आण,णारी 
आणणाऱ्या ,आण,णाऱ्या 
आणणार ,आण,णार 
आणणारे ,आण,णारे 
आणणे ,आण,णे 
आणण्याचा ,आण,ण्याचा 
आणण्याची ,आण,ण्याची 
आणण्याचे ,आण,ण्याचे 
आणण्याच्या ,आण,ण्याच्या 
आणण्याजोगे ,आण,ण्याजोगे 
आणण्यासाठी ,आण,ण्यासाठी 
आणण्यात ,आण,ण्यात 
आणची ,आण,ची 
आणचे ,आण,चे 
आणइ ,आण,इ 
आणला ,आण,ला 
आणली ,आण,ली 
आणलीस ,आण,लीस 
आणलीया ,आण,लीया 
आणल्ं ,आण,ल्ं 
आणले ,आण,ले 
आणलेला ,आण,लेला 
आणलेली ,आण,लेली 
आणलेलं ,आण,लेलं 
आणलेले ,आण,लेले 
आणलेल्या ,आण,लेल्या 
आणल्या ,आण,ल्या 
आणल्यासारखेही ,आण,ल्यासारखेही 
आणत् ,आण,त् 
आणता ,आण,ता 
आणताना ,आण,ताना 
आणतात ,आण,तात 
आणते ,आण,ते 
आणतो ,आण,तो 
आणतोस ,आण,तोस 
आणय्ची ,आण,य्ची 
आणय्चे ,आण,य्चे 
आणय्ला ,आण,य्ला 
आणे ,आण,े 
आणेच ,आण,ेच 
आणेसुध्दा ,आण,ेसुध्दा 
आण्हा ,आण,्हा 
आण्हांला ,आण,्हांला 
आण्हांलाही ,आण,्हांलाही 
आण्ही ,आण,्ही 
आणि ,आण,ि 
आणिकांचे ,आण,िकांचे 
आण्यांचा ,आण,्यांचा 
आण्यांची ,आण,्यांची 
आण्याला ,आण,्याला 
आणखी ,आणखी, 
आणखीच ,आणखी,च 
आणखीही ,आणखी,ही 
आणखीन ,आणखी,न 
आणखीनच् ,आणखी,नच् 
आणा ,आण,ा 
आणाशप्था ,आण,ाशप्था 
आणाशप्था ,आण,ाशप्था 
आणावी ,आण,ावी 
आणावयाच्या ,आण,ावयाच्या 
आणावे ,आण,ावे 
आणाया ,आण,ाया 
आणायचा ,आण,ायचा 
आणायची ,आण,ायची 
